Registro_ID,Año,Trimestre,Total de accesos pospago,Total de accesos prepago,Total de accesos operativos,TiempoTrim_ID
1,2025,1,8634790,55726956,64361746,20251
2,2024,4,8566191,55515808,64081999,20244
3,2024,3,8465960,54898234,63364194,20243
4,2024,2,8397205,54421319,62818524,20242
5,2024,1,8398514,54455565,62854079,20241
6,2023,4,8301200,54407950,62709150,20234
7,2023,3,7903181,53281127,61184308,20233
8,2023,2,7310125,53572899,60883024,20232
9,2023,1,7028083,53269840,60297923,20231
10,2022,4,6546406,53157521,59703927,20224
11,2022,3,6250732,53008139,59258871,20223
12,2022,2,6245815,52865377,59111192,20222
13,2022,1,6231309,52937601,59168910,20221
14,2021,4,6186994,52878833,59065827,20214
15,2021,3,6104479,51708030,57812509,20213
16,2021,2,6046091,50829471,56875562,20212
17,2021,1,6041047,50411986,56453033,20211
18,2020,4,5556299,49207602,54763900,20204
19,2020,3,5559724,49060162,54619886,20203
20,2020,2,5659667,49391056,55050723,20202
21,2020,1,5743132,49869048,55612810,20201
22,2019,4,5797378,50133536,55930914,20194
23,2019,3,5974898,50300828,56275726,20193
24,2019,2,5924037,51672054,57596091,20192
25,2019,1,6645995,51960447,58606442,20191
26,2018,4,6488017,52110024,58598041,20184
27,2018,3,6551391,52289745,58841136,20183
28,2018,2,6637444,52828949,59466393,20182
29,2018,1,7101698,53470098,60571796,20181
30,2017,4,7108228,54789151,61897379,20174
31,2017,3,7272585,54958224,62230809,20173
32,2017,2,7415230,55483528,62898758,20172
33,2017,1,7502772,55523350,63026122,20171
34,2016,4,7637635,56082170,63719805,20164
35,2016,3,7520789,56058550,63579339,20163
36,2016,2,7565115,54557406,62122521,20162
37,2016,1,7483126,54003635,61486761,20161
38,2015,4,7594526,54247485,61842011,20154
39,2015,3,7600799,53131712,60732511,20153
40,2015,2,7633527,52241939,59875466,20152
41,2015,1,7747230,52474633,60221863,20151
42,2014,4,8027505,53093330,61120835,20144
43,2014,3,8214424,53102043,61316467,20143
44,2014,2,7953775,53009865,60963640,20142
45,2014,1,8224482,54725089,62949571,20141
46,2013,4,8674516,58894516,67569032,20134
47,2013,3,8002183,59048909,67051092,20133
48,2013,2,7769110,58004822,65773932,20132
49,2013,1,7761349,57147608,64908957,20131
