"Año","Trimestre","Ingresos"
"2025","1","$ 1.567.972.887,00"
"2024","4","$ 1.455.819.187,00"
"2024","3","$ 1.322.309.797,00"
"2024","2","$ 1.108.472.514,00"
"2024","1","$ 769.485.386,00"
"2023","4","$ 515.335.742,00"
"2023","3","$ 380.119.973,00"
"2023","2","$ 307.337.085,00"
"2023","1","$ 257.558.366,00"
"2022","4","$ 216.233.244,00"
"2022","3","$ 180.356.862,00"
"2022","2","$ 153.032.313,00"
"2022","1","$ 130.454.676,00"
"2021","4","$ 127.389.786,00"
"2021","3","$ 117.751.925,00"
"2021","2","$ 104.782.020,00"
"2021","1","$ 93.112.153,00"
"2020","4","$ 83.479.114,00"
"2020","3","$ 79.634.755,00"
"2020","2","$ 73.538.944,00"
"2020","1","$ 72.077.147,00"
"2019","4","$ 65.388.842,00"
"2019","3","$ 60.905.891,00"
"2019","2","$ 55.338.816,00"
"2019","1","$ 50.246.691,00"
"2018","4","$ 44.026.803,00"
"2018","3","$ 43.280.089,00"
"2018","2","$ 40.653.502,00"
"2018","1","$ 38.733.946,00"
"2017","4","$ 38.110.028,00"
"2017","3","$ 35.711.689,00"
"2017","2","$ 33.509.264,00"
"2017","1","$ 31.205.565,00"
"2016","4","$ 30.143.233,00"
"2016","3","$ 27.416.177,00"
"2016","2","$ 25.353.971,00"
"2016","1","$ 24.763.052,00"
"2015","4","$ 24.881.967,00"
"2015","3","$ 21.785.238,00"
"2015","2","$ 19.945.453,00"
"2015","1","$ 19.337.342,00"
"2014","4","$ 20.012.332,00"
"2014","3","$ 18.976.053,00"
"2014","2","$ 17.680.972,00"
"2014","1","$ 15.938.353,00"
"2013","4","$ 16.218.846,00"
"2013","3","$ 15.235.659,00"
"2013","2","$ 13.970.806,00"
"2013","1","$ 13.135.235,00"

