Registro_ID,Año,Trimestre,Ingresos,TiempoTrim_ID,Periodo,Ingresos_QoQ_%,Ingresos_YoY_%,Ingresos_MovAvg4
49,2013,1,13135235,20131,2013Q1,,,
48,2013,2,13970806,20132,2013Q2,6.361294639951254,,
47,2013,3,15235659,20133,2013Q3,9.053543510660722,,
46,2013,4,16218846,20134,2013Q4,6.4531964124426855,,14640136.5
45,2014,1,15938353,20141,2014Q1,-1.7294263722585468,21.3404480391862,15340916.0
44,2014,2,17680972,20142,2014Q2,10.933494822206535,26.55656373726756,16268457.5
43,2014,3,18976053,20143,2014Q3,7.324716084613447,24.550260674644917,17203556.0
42,2014,4,20012332,20144,2014Q4,5.460982850332474,23.389370612434448,18151927.5
41,2015,1,19337342,20151,2015Q1,-3.3728702881803074,21.32584841106229,19001674.75
40,2015,2,19945453,20152,2015Q2,3.144749676558445,12.80744633270161,19567795.0
39,2015,3,21785238,20153,2015Q3,9.224082300863268,14.803842506131272,20270091.25
38,2015,4,24881967,20154,2015Q4,14.214804538743152,24.33317116665863,21487500.0
37,2016,1,24763052,20161,2016Q1,-0.4779163962398969,28.0581995188377,22843927.5
36,2016,2,25353971,20162,2016Q2,2.3862930950514505,27.11654631258562,24196057.0
35,2016,3,27416177,20163,2016Q3,8.133660798144792,25.847498200386877,25603791.75
34,2016,4,30143233,20164,2016Q4,9.946886467796002,21.144895819530674,26919108.25
33,2017,1,31205565,20171,2017Q1,3.5242802256811645,26.016635590798742,28529736.5
32,2017,2,33509264,20172,2017Q2,7.382333888202308,32.16574239987891,30568559.75
31,2017,3,35711689,20173,2017Q3,6.572585419960286,30.257727034662786,32642437.75
30,2017,4,38110028,20174,2017Q4,6.715837495112598,26.429796034154673,34634136.5
29,2018,1,38733946,20181,2018Q1,1.6371491513992087,24.125123195173682,36516231.75
28,2018,2,40653502,20182,2018Q2,4.955746052829224,21.320187754645993,38302291.25
27,2018,3,43280089,20183,2018Q3,6.460912026717902,21.193060905072294,40194391.25
26,2018,4,44026803,20184,2018Q4,1.725306063950094,15.525506829855917,41673585.0
25,2019,1,50246691,20191,2019Q1,14.127503193906676,29.72262366452414,44551771.25
24,2019,2,55338816,20192,2019Q2,10.134249437440568,36.123121693181574,48223099.75
23,2019,3,60905891,20193,2019Q3,10.059982128999657,40.7249670859041,52629550.25
22,2019,4,65388842,20194,2019Q4,7.360455493541673,48.52053191325294,57970060.0
21,2020,1,72077147,20201,2020Q1,10.228511157912834,43.44655452037627,63427674.0
20,2020,2,73538944,20202,2020Q2,2.0281005295617494,32.88853885128298,67977706.0
19,2020,3,79634755,20203,2020Q3,8.289228357698475,30.750496696616757,72659922.0
18,2020,4,83479114,20204,2020Q4,4.827488952530845,27.665686448461656,77182490.0
17,2021,1,93112153,20211,2021Q1,11.539460037872473,29.18401584346839,82441241.5
16,2021,2,104782020,20212,2021Q2,12.533129805300502,42.4850756627672,90252010.5
15,2021,3,117751925,20213,2021Q3,12.377987177571104,47.86499311764065,99781303.0
14,2021,4,127389786,20214,2021Q4,8.184886149419635,52.600788264235774,110758971.0
13,2022,1,130454676,20221,2022Q1,2.405915023673866,40.104886201052615,120094601.75
12,2022,2,153032313,20222,2022Q2,17.306882123566037,46.04825617982933,132157175.0
11,2022,3,180356862,20223,2022Q3,17.855411360083153,53.166805553285016,147808409.25
10,2022,4,216233244,20224,2022Q4,19.891886342533493,69.74142966218658,170019273.75
9,2023,1,257558366,20231,2023Q1,19.11136383820797,97.43130250080112,201795196.25
8,2023,2,307337085,20232,2023Q2,19.327160586195056,100.83149694012663,240371389.25
7,2023,3,380119973,20233,2023Q3,23.68177859173748,110.75991719128493,290312167.0
6,2023,4,515335742,20234,2023Q4,35.571866411765726,138.32401182493476,365087791.5
5,2024,1,769485386,20241,2024Q1,49.317294200020775,198.76155760360743,493069546.5
4,2024,2,1108472514,20242,2024Q2,44.053744771184,260.66995104089045,693353403.75
3,2024,3,1322309797,20243,2024Q3,19.29116692558783,247.86643452697498,928900859.75
2,2024,4,1455819187,20244,2024Q4,10.096680089862486,182.4991686681806,1164021721.0
1,2025,1,1567972887,20251,2025Q1,7.7038207080588395,103.76902739514797,1363643596.25
