Registro_ID,Año,Trimestre,Llamadas pospago salientes,Llamadas prepago salientes,Total de llamadas salientes,TiempoTrim_ID
1,2025,1,2509903,962525,3472428,20251
2,2024,4,2753762,1095453,3849216,20244
3,2024,3,2700397,1072911,3773308,20243
4,2024,2,2709620,1067028,3776648,20242
5,2024,1,2893508,1068710,3962217,20241
6,2023,4,3413226,1165616,4578842,20234
7,2023,3,3098773,1095866,4194639,20233
8,2023,2,3272337,1052369,4324706,20232
9,2023,1,3251857,1023503,4275360,20231
10,2022,4,3785218,1112907,4898125,20224
11,2022,3,4123397,1320345,5443742,20223
12,2022,2,4109736,1364889,5474625,20222
13,2022,1,4073512,1265694,5339206,20221
14,2021,4,4580319,1355533,5935852,20214
15,2021,3,4365100,1195389,5560488,20213
16,2021,2,4343282,1084244,5427526,20212
17,2021,1,4312129,1273254,5585383,20211
18,2020,4,4653523,1353625,6007148,20204
19,2020,3,4216177,2040647,6256823,20203
20,2020,2,3944061,2091330,6035390,20202
21,2020,1,4356731,2226861,6583591,20201
22,2019,4,4935402,2665719,7601121,20194
23,2019,3,4735772,2519093,7254864,20193
24,2019,2,5081581,2632188,7713769,20192
25,2019,1,4990885,2569628,7560513,20191
26,2018,4,5415217,2825480,8240697,20184
27,2018,3,5114169,2585551,7699720,20183
28,2018,2,4997593,2617568,7615161,20182
29,2018,1,4629943,2639039,7268982,20181
30,2017,4,5506428,2895913,8402341,20174
31,2017,3,5401689,2812805,8214493,20173
32,2017,2,5431369,2753032,8184400,20172
33,2017,1,5337927,2883162,8221089,20171
34,2016,4,5977412,3289295,9266707,20164
35,2016,3,5125311,3985485,9110796,20163
36,2016,2,4633918,4362030,8995948,20162
37,2016,1,4602640,4291789,8894429,20161
38,2015,4,5015851,4799840,9815691,20154
39,2015,3,4834496,4544938,9379434,20153
40,2015,2,4612087,4081505,8693592,20152
41,2015,1,4180427,3992229,8172656,20151
42,2014,4,4957353,4649196,9606550,20144
43,2014,3,4676132,4356668,9032801,20143
44,2014,2,4373148,3942142,8315290,20142
45,2014,1,4001399,3589181,7590580,20141
46,2013,4,4743791,3906876,8650667,20134
47,2013,3,4466727,3814925,8281653,20133
48,2013,2,4156872,3699387,7856258,20132
49,2013,1,3796547,3412766,7209313,20131
