Registro_ID,Año,Trimestre,Minutos pospago salientes,Minutos prepago salientes,Total de Minutos salientes,TiempoTrim_ID
1,2025,1,7217197,3053029,10270226,20251
2,2024,4,8152013,3484293,11636306,20244
3,2024,3,8407215,3599378,12006593,20243
4,2024,2,8837499,3595205,12432705,20242
5,2024,1,9619808,3771708,13391517,20241
6,2023,4,10147854,3673245,13821099,20234
7,2023,3,10354887,3639908,13994795,20233
8,2023,2,10577765,3493298,14071063,20232
9,2023,1,10980979,3469826,14450805,20231
10,2022,4,11890577,3721056,15611632,20224
11,2022,3,12556822,3870172,16426994,20223
12,2022,2,12436524,3776195,16212719,20222
13,2022,1,12362900,3586127,15949027,20221
14,2021,4,12944094,5456088,18400182,20214
15,2021,3,13152393,5440364,18592757,20213
16,2021,2,13869978,5354043,19224021,20212
17,2021,1,12992366,5469581,18461947,20211
18,2020,4,14421377,5768783,20190160,20204
19,2020,3,14536705,5696019,20232724,20203
20,2020,2,14584356,5949100,20533456,20202
21,2020,1,13764635,6211879,19976514,20201
22,2019,4,11828877,6567190,18396067,20194
23,2019,3,13444769,6819314,20264083,20193
24,2019,2,13986048,6174603,20160651,20192
25,2019,1,13733817,6182149,20364355,20191
26,2018,4,14915060,6613685,21528745,20184
27,2018,3,14574305,6108477,20682782,20183
28,2018,2,14240217,6027374,20267591,20182
29,2018,1,13423580,5850985,19274565,20181
30,2017,4,14164552,5380710,19545262,20174
31,2017,3,15106275,6308373,21414647,20173
32,2017,2,15315167,6293563,21608730,20172
33,2017,1,14630269,6209983,20840252,20171
34,2016,4,15960765,6938892,22899656,20164
35,2016,3,11923391,7077838,19001229,20163
36,2016,2,11493027,6778732,18271759,20162
37,2016,1,11230991,6656647,17887638,20161
38,2015,4,11905073,7301039,19206111,20154
39,2015,3,11766711,7198826,18965537,20153
40,2015,2,11226576,6579819,17806395,20152
41,2015,1,10273637,6480172,16753809,20151
42,2014,4,11997330,7147630,19144961,20144
43,2014,3,11524344,7179152,18703495,20143
44,2014,2,10821463,6438071,17259534,20142
45,2014,1,10128751,5799223,15927974,20141
46,2013,4,9809515,6250549,16060064,20134
47,2013,3,10315484,7335154,17650638,20133
48,2013,2,9512689,7108640,16621329,20132
49,2013,1,8785943,6582117,15368060,20131
