Registro_ID,Año,MesId,Mes,Total General,TiempoMes_ID,Trimestre,TiempoTrim_ID
1,2025,3,Marzo,154647,202503,1,20251
2,2025,2,Febrero,168572,202502,1,20251
3,2025,1,Enero,191649,202501,1,20251
4,2024,12,Diciembre,278641,202412,4,20244
5,2024,11,Noviembre,223065,202411,4,20244
6,2024,10,Octubre,258940,202410,4,20244
7,2024,9,Septiembre,248324,202409,3,20243
8,2024,8,Agosto,263722,202408,3,20243
9,2024,7,Julio,266723,202407,3,20243
10,2024,6,Junio,178024,202406,2,20242
11,2024,5,Mayo,178256,202405,2,20242
12,2024,4,Abril,155812,202404,2,20242
13,2024,3,Marzo,149604,202403,1,20241
14,2024,2,Febrero,145787,202402,1,20241
15,2024,1,Enero,160634,202401,1,20241
16,2023,12,Diciembre,131142,202312,4,20234
17,2023,11,Noviembre,139067,202311,4,20234
18,2023,10,Octubre,140945,202310,4,20234
19,2023,9,Septiembre,157032,202309,3,20233
20,2023,8,Agosto,163571,202308,3,20233
21,2023,7,Julio,156958,202307,3,20233
22,2023,6,Junio,172718,202306,2,20232
23,2023,5,Mayo,190134,202305,2,20232
24,2023,4,Abril,195254,202304,2,20232
25,2023,3,Marzo,253637,202303,1,20231
26,2023,2,Febrero,208181,202302,1,20231
27,2023,1,Enero,265548,202301,1,20231
28,2022,12,Diciembre,269979,202212,4,20224
29,2022,11,Noviembre,299611,202211,4,20224
30,2022,10,Octubre,298154,202210,4,20224
31,2022,9,Septiembre,310435,202209,3,20223
32,2022,8,Agosto,317256,202208,3,20223
33,2022,7,Julio,298071,202207,3,20223
34,2022,6,Junio,313772,202206,2,20222
35,2022,5,Mayo,318805,202205,2,20222
36,2022,4,Abril,317497,202204,2,20222
37,2022,3,Marzo,340566,202203,1,20221
38,2022,2,Febrero,265379,202202,1,20221
39,2022,1,Enero,258813,202201,1,20221
40,2021,12,Diciembre,294356,202112,4,20214
41,2021,11,Noviembre,312348,202111,4,20214
42,2021,10,Octubre,264039,202110,4,20214
43,2021,9,Septiembre,282261,202109,3,20213
44,2021,8,Agosto,252698,202108,3,20213
45,2021,7,Julio,236738,202107,3,20213
46,2021,6,Junio,206029,202106,2,20212
47,2021,5,Mayo,189244,202105,2,20212
48,2021,4,Abril,232382,202104,2,20212
49,2021,3,Marzo,227134,202103,1,20211
