Registro_ID,Año,MesId,Mes,Total General,TiempoMes_ID,Trimestre,TiempoTrim_ID,Fecha,Periodo,MoM_%,YoY_%,MA3
157,2012,3,Marzo,153,201203,1,20121,2012-03-01,2012-03,,,
156,2012,4,Abril,8034,201204,2,20122,2012-04-01,2012-04,5150.980392156863,,
155,2012,5,Mayo,34635,201205,2,20122,2012-05-01,2012-05,331.1053024645258,,14274.0
154,2012,6,Junio,30824,201206,2,20122,2012-06-01,2012-06,-11.003320340695833,,24497.666666666668
153,2012,7,Julio,33805,201207,3,20123,2012-07-01,2012-07,9.67103555670905,,33088.0
152,2012,8,Agosto,33518,201208,3,20123,2012-08-01,2012-08,-0.8489868362668296,,32715.666666666668
151,2012,9,Septiembre,33392,201209,3,20123,2012-09-01,2012-09,-0.37591741750701013,,33571.666666666664
150,2012,10,Octubre,35617,201210,4,20124,2012-10-01,2012-10,6.663272640153339,,34175.666666666664
149,2012,11,Noviembre,30439,201211,4,20124,2012-11-01,2012-11,-14.538001516129938,,33149.333333333336
148,2012,12,Diciembre,26797,201212,4,20124,2012-12-01,2012-12,-11.964913433424229,,30951.0
147,2013,1,Enero,27555,201301,1,20131,2013-01-01,2013-01,2.8286748516624938,,28263.666666666668
146,2013,2,Febrero,20329,201302,1,20131,2013-02-01,2013-02,-26.223915804754128,,24893.666666666668
145,2013,3,Marzo,24265,201303,1,20131,2013-03-01,2013-03,19.36150327118895,15759.477124183008,24049.666666666668
144,2013,4,Abril,27522,201304,2,20132,2013-04-01,2013-04,13.422625180300841,242.5690814040329,24038.666666666668
143,2013,5,Mayo,28883,201305,2,20132,2013-05-01,2013-05,4.9451348012499174,-16.60747798469756,26890.0
142,2013,6,Junio,22065,201306,2,20132,2013-06-01,2013-06,-23.605581137693456,-28.416169218790554,26156.666666666668
141,2013,7,Julio,27105,201307,3,20133,2013-07-01,2013-07,22.841604350781775,-19.819553320514714,26017.666666666668
140,2013,8,Agosto,28542,201308,3,20133,2013-08-01,2013-08,5.301604869950194,-14.84575451995942,25904.0
139,2013,9,Septiembre,33683,201309,3,20133,2013-09-01,2013-09,18.012052413986403,0.8714662194537537,29776.666666666668
138,2013,10,Octubre,34563,201310,4,20134,2013-10-01,2013-10,2.612593890092918,-2.959261027037652,32262.666666666668
137,2013,11,Noviembre,33236,201311,4,20134,2013-11-01,2013-11,-3.8393657957931926,9.18886954236342,33827.333333333336
136,2013,12,Diciembre,33293,201312,4,20134,2013-12-01,2013-12,0.1715007822842729,24.241519573086535,33697.333333333336
135,2014,1,Enero,30223,201401,1,20141,2014-01-01,2014-01,-9.221157600696838,9.682453275267644,32250.666666666668
134,2014,2,Febrero,33185,201402,1,20141,2014-02-01,2014-02,9.80048307580319,63.23970682276552,32233.666666666668
133,2014,3,Marzo,41372,201403,1,20141,2014-03-01,2014-03,24.67078499321982,70.50072120337936,34926.666666666664
132,2014,4,Abril,48043,201404,2,20142,2014-04-01,2014-04,16.124431982983655,74.56216844706054,40866.666666666664
131,2014,5,Mayo,58527,201405,2,20142,2014-05-01,2014-05,21.822117686239405,102.6347678565246,49314.0
130,2014,6,Junio,74669,201406,2,20142,2014-06-01,2014-06,27.580432962564295,238.40471334692955,60413.0
129,2014,7,Julio,85713,201407,3,20143,2014-07-01,2014-07,14.790609222033236,216.2257885998893,72969.66666666667
128,2014,8,Agosto,80264,201408,3,20143,2014-08-01,2014-08,-6.357262025597055,181.21365005956136,80215.33333333333
127,2014,9,Septiembre,88994,201409,3,20143,2014-09-01,2014-09,10.876607196252364,164.2104325624202,84990.33333333333
126,2014,10,Octubre,97254,201410,4,20144,2014-10-01,2014-10,9.281524597163848,181.3818244944015,88837.33333333333
125,2014,11,Noviembre,74132,201411,4,20144,2014-11-01,2014-11,-23.774857589405062,123.0472981104826,86793.33333333333
124,2014,12,Diciembre,90113,201412,4,20144,2014-12-01,2014-12,21.557492041223767,170.66650647283214,87166.33333333333
123,2015,1,Enero,84687,201501,1,20151,2015-01-01,2015-01,-6.021328776092238,180.20712702246632,82977.33333333333
122,2015,2,Febrero,73881,201502,1,20151,2015-02-01,2015-02,-12.759927733890674,122.63372005424138,82893.66666666667
121,2015,3,Marzo,84411,201503,1,20151,2015-03-01,2015-03,14.25264953100256,104.02929517548101,80993.0
120,2015,4,Abril,103422,201504,2,20152,2015-04-01,2015-04,22.521946191847043,115.26965426805154,87238.0
119,2015,5,Mayo,100936,201505,2,20152,2015-05-01,2015-05,-2.403743884279941,72.46057375228527,96256.33333333333
118,2015,6,Junio,127486,201506,2,20152,2015-06-01,2015-06,26.303796465086783,70.73484310758147,110614.66666666667
117,2015,7,Julio,122893,201507,3,20153,2015-07-01,2015-07,-3.602748537094269,43.37731732642656,117105.0
116,2015,8,Agosto,106316,201508,3,20153,2015-08-01,2015-08,-13.4889700796628,32.45788896641084,118898.33333333333
115,2015,9,Septiembre,124779,201509,3,20153,2015-09-01,2015-09,17.366153730388657,40.21057599388722,117996.0
114,2015,10,Octubre,128001,201510,4,20154,2015-10-01,2015-10,2.58216526819417,31.615152076007156,119698.66666666667
113,2015,11,Noviembre,117154,201511,4,20154,2015-11-01,2015-11,-8.474152545683234,58.034317163977775,123311.33333333333
112,2015,12,Diciembre,117140,201512,4,20154,2015-12-01,2015-12,-0.0119500827970076,29.992342947188533,120765.0
111,2016,1,Enero,102891,201601,1,20161,2016-01-01,2016-01,-12.164077172613963,21.495625066421063,112395.0
110,2016,2,Febrero,107273,201602,1,20161,2016-02-01,2016-02,4.258875897794745,45.1970059961289,109101.33333333333
109,2016,3,Marzo,128411,201603,1,20161,2016-03-01,2016-03,19.704865157122487,52.12590776083685,112858.33333333333
108,2016,4,Abril,143274,201604,2,20162,2016-04-01,2016-04,11.574553581858261,38.53338748042003,126319.33333333333
107,2016,5,Mayo,148327,201605,2,20162,2016-05-01,2016-05,3.526808772003287,46.95153364508202,140004.0
106,2016,6,Junio,154196,201606,2,20162,2016-06-01,2016-06,3.956798155426866,20.951320144957087,148599.0
105,2016,7,Julio,154234,201607,3,20163,2016-07-01,2016-07,0.02464395963579502,25.50267305704963,152252.33333333334
104,2016,8,Agosto,180968,201608,3,20163,2016-08-01,2016-08,17.333402492316875,70.21708867903232,163132.66666666666
103,2016,9,Septiembre,177072,201609,3,20163,2016-09-01,2016-09,-2.1528668051810307,41.908494217777026,170758.0
102,2016,10,Octubre,178771,201610,4,20164,2016-10-01,2016-10,0.9594967019065592,39.663752626932606,178937.0
101,2016,11,Noviembre,173043,201611,4,20164,2016-11-01,2016-11,-3.204099098847124,47.705584102975564,176295.33333333334
100,2016,12,Diciembre,139777,201612,4,20164,2016-12-01,2016-12,-19.22412348375837,19.324739627795793,163863.66666666666
99,2017,1,Enero,117961,201701,1,20171,2017-01-01,2017-01,-15.60771800796984,14.646567727012073,143593.66666666666
98,2017,2,Febrero,97738,201702,1,20171,2017-02-01,2017-02,-17.14380176499012,-8.88853672405917,118492.0
97,2017,3,Marzo,125312,201703,1,20171,2017-03-01,2017-03,28.2121590374266,-2.413344651159166,113670.33333333333
96,2017,4,Abril,100241,201704,2,20172,2017-04-01,2017-04,-20.00686287027579,-30.035456537822636,107763.66666666667
95,2017,5,Mayo,110304,201705,2,20172,2017-05-01,2017-05,10.038806476391905,-25.634577656124648,111952.33333333333
94,2017,6,Junio,104675,201706,2,20172,2017-06-01,2017-06,-5.103169422686394,-32.11561908220706,105073.33333333333
93,2017,7,Julio,110699,201707,3,20173,2017-07-01,2017-07,5.754955815619778,-28.226590764682236,108559.33333333333
92,2017,8,Agosto,114627,201708,3,20173,2017-08-01,2017-08,3.54836087046857,-36.65896733124087,110000.33333333333
91,2017,9,Septiembre,104109,201709,3,20173,2017-09-01,2017-09,-9.175848622052396,-41.20527243155326,109811.66666666667
