Año,MesId,Mes,Trimestre,TiempoMes_ID,TiempoTrim_ID
2012,3,Marzo,1,201203,20121
2012,4,Abril,2,201204,20122
2012,5,Mayo,2,201205,20122
2012,6,Junio,2,201206,20122
2012,7,Julio,3,201207,20123
2012,8,Agosto,3,201208,20123
2012,9,Septiembre,3,201209,20123
2012,10,Octubre,4,201210,20124
2012,11,Noviembre,4,201211,20124
2012,12,Diciembre,4,201212,20124
2013,1,Enero,1,201301,20131
2013,2,Febrero,1,201302,20131
2013,3,Marzo,1,201303,20131
2013,4,Abril,2,201304,20132
2013,5,Mayo,2,201305,20132
2013,6,Junio,2,201306,20132
2013,7,Julio,3,201307,20133
2013,8,Agosto,3,201308,20133
2013,9,Septiembre,3,201309,20133
2013,10,Octubre,4,201310,20134
2013,11,Noviembre,4,201311,20134
2013,12,Diciembre,4,201312,20134
2014,1,Enero,1,201401,20141
2014,2,Febrero,1,201402,20141
2014,3,Marzo,1,201403,20141
2014,4,Abril,2,201404,20142
2014,5,Mayo,2,201405,20142
2014,6,Junio,2,201406,20142
2014,7,Julio,3,201407,20143
2014,8,Agosto,3,201408,20143
2014,9,Septiembre,3,201409,20143
2014,10,Octubre,4,201410,20144
2014,11,Noviembre,4,201411,20144
2014,12,Diciembre,4,201412,20144
2015,1,Enero,1,201501,20151
2015,2,Febrero,1,201502,20151
2015,3,Marzo,1,201503,20151
2015,4,Abril,2,201504,20152
2015,5,Mayo,2,201505,20152
2015,6,Junio,2,201506,20152
2015,7,Julio,3,201507,20153
2015,8,Agosto,3,201508,20153
2015,9,Septiembre,3,201509,20153
2015,10,Octubre,4,201510,20154
2015,11,Noviembre,4,201511,20154
2015,12,Diciembre,4,201512,20154
2016,1,Enero,1,201601,20161
2016,2,Febrero,1,201602,20161
2016,3,Marzo,1,201603,20161
2016,4,Abril,2,201604,20162
2016,5,Mayo,2,201605,20162
2016,6,Junio,2,201606,20162
2016,7,Julio,3,201607,20163
2016,8,Agosto,3,201608,20163
2016,9,Septiembre,3,201609,20163
2016,10,Octubre,4,201610,20164
2016,11,Noviembre,4,201611,20164
2016,12,Diciembre,4,201612,20164
2017,1,Enero,1,201701,20171
2017,2,Febrero,1,201702,20171
2017,3,Marzo,1,201703,20171
2017,4,Abril,2,201704,20172
2017,5,Mayo,2,201705,20172
2017,6,Junio,2,201706,20172
2017,7,Julio,3,201707,20173
2017,8,Agosto,3,201708,20173
2017,9,Septiembre,3,201709,20173
2017,10,Octubre,4,201710,20174
2017,11,Noviembre,4,201711,20174
2017,12,Diciembre,4,201712,20174
2018,1,Enero,1,201801,20181
2018,2,Febrero,1,201802,20181
2018,3,Marzo,1,201803,20181
2018,4,Abril,2,201804,20182
2018,5,Mayo,2,201805,20182
2018,6,Junio,2,201806,20182
2018,7,Julio,3,201807,20183
2018,8,Agosto,3,201808,20183
2018,9,Septiembre,3,201809,20183
2018,10,Octubre,4,201810,20184
2018,11,Noviembre,4,201811,20184
2018,12,Diciembre,4,201812,20184
2019,1,Enero,1,201901,20191
2019,2,Febrero,1,201902,20191
2019,3,Marzo,1,201903,20191
2019,4,Abril,2,201904,20192
2019,5,Mayo,2,201905,20192
2019,6,Junio,2,201906,20192
2019,7,Julio,3,201907,20193
2019,8,Agosto,3,201908,20193
