Año,Trimestre,TiempoTrim_ID
2012,1,20121
2012,2,20122
2012,3,20123
2012,4,20124
2013,1,20131
2013,2,20132
2013,3,20133
2013,4,20134
2014,1,20141
2014,2,20142
2014,3,20143
2014,4,20144
2015,1,20151
2015,2,20152
2015,3,20153
2015,4,20154
2016,1,20161
2016,2,20162
2016,3,20163
2016,4,20164
2017,1,20171
2017,2,20172
2017,3,20173
2017,4,20174
2018,1,20181
2018,2,20182
2018,3,20183
2018,4,20184
2019,1,20191
2019,2,20192
2019,3,20193
2019,4,20194
2020,1,20201
2020,2,20202
2020,3,20203
2020,4,20204
2021,1,20211
2021,2,20212
2021,3,20213
2021,4,20214
2022,1,20221
2022,2,20222
2022,3,20223
2022,4,20224
2023,1,20231
2023,2,20232
2023,3,20233
2023,4,20234
2024,1,20241
2024,2,20242
2024,3,20243
2024,4,20244
2025,1,20251
