Registro_ID,Provincia_ID,Año,Trimestre,Provincias,Hogares,Comercial,Gobierno,Otros,Total,TiempoTrim_ID
1,1,2025,1,Buenos Aires,2840504,2545750,249453,12463,32838,20251
2,2,2025,1,CABA,1563390,1401159,137297,6860,18074,20251
3,3,2025,1,Catamarca,16597,14874,1458,73,192,20251
4,4,2025,1,Chaco,43696,39162,3837,192,505,20251
5,5,2025,1,Chubut,53495,47944,4698,235,618,20251
6,7,2025,1,Córdoba,447030,400643,39258,1961,5168,20251
7,6,2025,1,Corrientes,68152,61080,5985,299,788,20251
8,8,2025,1,Entre Ríos,126083,112999,11073,553,1458,20251
9,9,2025,1,Formosa,34701,31101,3047,152,401,20251
10,10,2025,1,Jujuy,20395,18279,1791,89,236,20251
11,11,2025,1,La Pampa,60358,54094,5301,265,698,20251
12,12,2025,1,La Rioja,21051,18867,1849,92,243,20251
13,13,2025,1,Mendoza,177854,159399,15619,780,2056,20251
14,14,2025,1,Misiones,54218,48592,4761,238,627,20251
15,15,2025,1,Neuquén,62437,55958,5483,274,722,20251
16,16,2025,1,Río Negro,68071,61007,5978,299,787,20251
17,17,2025,1,Salta,62817,56298,5517,276,726,20251
18,18,2025,1,San Juan,55792,50002,4900,245,645,20251
19,19,2025,1,San Luis,27537,24680,2418,121,318,20251
20,20,2025,1,Santa Cruz,20059,17977,1762,88,232,20251
21,21,2025,1,Santa Fe,396972,355779,34862,1742,4589,20251
22,22,2025,1,Santiago del Estero,51773,46400,4547,227,599,20251
23,23,2025,1,Tierra del Fuego,15590,13973,1369,68,180,20251
24,24,2025,1,Tucumán,127261,114056,11176,558,1471,20251
25,1,2024,4,Buenos Aires,2569839,256962,12550,34793,2874144,20244
26,2,2024,4,CABA,1372151,137203,6701,18578,1534633,20244
27,3,2024,4,Catamarca,14925,1492,73,202,16692,20244
28,4,2024,4,Chaco,38900,3890,190,527,43507,20244
29,5,2024,4,Chubut,44993,4499,220,609,50321,20244
30,7,2024,4,Córdoba,396682,39665,1937,5371,443655,20244
31,6,2024,4,Corrientes,61323,6132,299,830,68584,20244
32,8,2024,4,Entre Ríos,115657,11565,565,1566,129353,20244
33,9,2024,4,Formosa,30745,3074,150,416,34385,20244
34,10,2024,4,Jujuy,18887,1889,92,256,21124,20244
35,11,2024,4,La Pampa,54881,5488,268,743,61380,20244
36,12,2024,4,La Rioja,18325,1832,89,248,20494,20244
37,13,2024,4,Mendoza,163613,16360,799,2215,182987,20244
38,14,2024,4,Misiones,49866,4986,244,675,55771,20244
39,15,2024,4,Neuquén,55787,5578,272,755,62392,20244
40,16,2024,4,Río Negro,60960,6095,298,825,68178,20244
41,17,2024,4,Salta,58026,5802,283,786,64897,20244
42,18,2024,4,San Juan,44623,4462,218,604,49907,20244
43,19,2024,4,San Luis,23731,2373,116,321,26541,20244
44,20,2024,4,Santa Cruz,18442,1844,90,250,20626,20244
