"Año","Trimestre","Hogares","Comercial","Gobierno","Otros","Total"
"2025","1","6.415.831","5.750.070","563.439","28.150","74.172"
"2024","4","5.741.731","574.124","28.041","77.738","6.421.634"
"2024","3","5.901.212","599.293","27.486","80.908","6.608.899"
"2024","2","6.242.915","669.618","27.789","93.889","7.034.211"
"2024","1","6.161.229","630.018","27.462","89.347","6.908.056"
"2023","4","6.242.915","669.618","27.789","93.889","7.034.211"
"2023","3","6.323.673","685.453","27.460","96.169","7.132.755"
"2023","2","6.345.802","694.975","27.297","100.202","7.168.276"
"2023","1","6.182.939","695.300","27.143","107.378","7.012.760"
"2022","4","6.307.995","594.245","27.073","111.559","7.040.872"
"2022","3","6.292.004","597.354","26.497","108.792","7.024.647"
"2022","2","6.307.810","610.291","26.749","112.884","7.057.734"
"2022","1","6.452.832","627.770","26.807","115.796","7.223.205"
"2021","4","6.933.738","538.714","34.262","119.641","7.626.355"
"2021","3","6.311.742","536.500","34.225","120.836","7.003.303"
"2021","2","6.378.508","545.706","34.144","123.358","7.081.716"
"2021","1","6.459.673","557.287","34.041","149.460","7.200.461"
"2020","4","6.621.370","579.315","34.155","129.192","7.364.032"
"2020","3","6.712.162","542.624","36.283","141.479","7.432.548"
"2020","2","6.694.729","598.402","34.391","135.735","7.463.257"
"2020","1","6.778.310","605.915","33.415","137.990","7.555.630"
"2019","4","6.942.553","618.847","34.546","166.866","7.762.812"
"2019","3","7.069.250","619.801","34.329","169.309","7.892.689"
"2019","2","7.177.951","640.458","34.264","277.310","8.129.983"
"2019","1","7.360.178","655.594","34.826","276.802","8.327.400"
"2018","4","8.764.892","715.700","39.825","285.500","9.805.917"
"2018","3","8.656.721","709.503","38.828","289.936","9.694.988"
"2018","2","8.638.311","712.144","38.473","314.771","9.703.699"
"2018","1","8.490.573","711.654","37.447","427.247","9.666.921"
"2017","4","8.971.186","721.607","37.856","530.163","10.260.812"
"2017","3","8.829.818","724.585","37.068","539.018","10.130.489"
"2017","2","9.037.000","759.247","38.093","545.409","10.379.749"
"2017","1","8.950.226","721.226","37.841","530.088","10.239.381"
"2016","4","8.971.186","721.607","37.856","530.163","10.260.812"
"2016","3","8.829.818","724.585","37.068","539.018","10.130.489"
"2016","2","9.037.000","759.247","38.093","545.409","10.379.749"
"2016","1","8.950.226","721.226","37.841","530.088","10.239.381"
"2015","4","8.380.800","1.003.363","35.161","556.474","9.975.798"
"2015","3","8.364.541","1.095.767","35.230","555.079","10.050.617"
"2015","2","8.291.156","1.103.025","34.419","562.590","9.991.190"
"2015","1","8.358.053","1.134.427","36.888","556.853","10.086.221"
"2014","4","7.989.623","1.106.502","33.139","560.488","9.689.752"
"2014","3","7.924.613","1.091.747","32.516","564.485","9.613.361"
"2014","2","7.872.511","1.073.038","31.339","572.106","9.548.994"
"2014","1","7.897.980","1.065.834","30.917","567.500","9.562.231"

