Registro_ID,Provincia_ID,Año,Trimestre,Provincias,Accesos telefonía fija cada 100 hab,Accesos telefonía fija cada 100 hogares,TiempoTrim_ID
1,24,2025,1,Tucumán,7.2,30.8,20251
2,23,2025,1,Tierra del Fuego,8.24,31.34,20251
3,22,2025,1,Santiago del Estero,5.1,21.62,20251
4,21,2025,1,Santa Fe,10.93,36.07,20251
5,20,2025,1,Santa Cruz,5.03,19.06,20251
6,19,2025,1,San Luis,5.18,19.25,20251
7,18,2025,1,San Juan,6.88,28.44,20251
8,17,2025,1,Salta,4.22,18.52,20251
9,16,2025,1,Río Negro,8.71,30.12,20251
10,15,2025,1,Neuquén,8.99,32.14,20251
11,14,2025,1,Misiones,4.14,16.02,20251
12,13,2025,1,Mendoza,8.63,32.47,20251
13,12,2025,1,La Rioja,5.11,20.45,20251
14,11,2025,1,La Pampa,16.35,51.69,20251
15,10,2025,1,Jujuy,2.55,10.5,20251
16,9,2025,1,Formosa,5.58,22.78,20251
17,8,2025,1,Entre Ríos,8.81,30.8,20251
18,6,2025,1,Corrientes,5.9,23.36,20251
19,7,2025,1,Córdoba,11.47,39.36,20251
20,5,2025,1,Chubut,8.16,28.83,20251
21,4,2025,1,Chaco,3.51,13.75,20251
22,3,2025,1,Catamarca,3.88,15.89,20251
23,2,2025,1,CABA,50.68,121.97,20251
24,1,2025,1,Buenos Aires,15.65,50.22,20251
25,24,2024,4,Tucumán,7.25,30.97,20244
26,23,2024,4,Tierra del Fuego,7.11,27.0,20244
27,22,2024,4,Santiago del Estero,5.08,21.5,20244
28,21,2024,4,Santa Fe,10.88,35.9,20244
29,20,2024,4,Santa Cruz,5.08,19.23,20244
30,19,2024,4,San Luis,4.95,18.38,20244
31,18,2024,4,San Juan,6.11,25.24,20244
32,17,2024,4,Salta,4.33,18.95,20244
33,16,2024,4,Río Negro,8.65,29.87,20244
34,15,2024,4,Neuquén,8.91,31.8,20244
35,14,2024,4,Misiones,4.23,16.34,20244
36,13,2024,4,Mendoza,8.81,33.14,20244
37,12,2024,4,La Rioja,4.93,19.71,20244
38,11,2024,4,La Pampa,16.53,52.23,20244
39,10,2024,4,Jujuy,2.62,10.78,20244
40,9,2024,4,Formosa,5.5,22.43,20244
41,8,2024,4,Entre Ríos,8.98,31.38,20244
42,6,2024,4,Corrientes,5.91,23.36,20244
43,7,2024,4,Córdoba,11.3,38.76,20244
44,5,2024,4,Chubut,7.59,26.78,20244
45,4,2024,4,Chaco,3.47,13.59,20244
46,3,2024,4,Catamarca,3.88,15.88,20244
47,2,2024,4,CABA,49.73,120.06,20244
48,1,2024,4,Buenos Aires,15.73,50.1,20244
49,24,2024,3,Tucumán,8.9,38.04,20243
50,23,2024,3,Tierra del Fuego,8.78,33.36,20243
51,22,2024,3,Santiago del Estero,5.98,25.29,20243
52,21,2024,3,Santa Fe,15.84,52.28,20243
53,20,2024,3,Santa Cruz,5.38,20.35,20243
54,19,2024,3,San Luis,5.43,20.14,20243
55,18,2024,3,San Juan,7.34,30.34,20243
56,17,2024,3,Salta,6.23,27.29,20243
57,16,2024,3,Río Negro,8.81,30.43,20243
58,15,2024,3,Neuquén,8.7,31.06,20243
59,14,2024,3,Misiones,6.13,23.72,20243
60,13,2024,3,Mendoza,8.31,31.26,20243
61,12,2024,3,La Rioja,5.66,22.66,20243
62,11,2024,3,La Pampa,17.17,54.24,20243
63,10,2024,3,Jujuy,5.17,21.31,20243
64,9,2024,3,Formosa,4.72,19.25,20243
65,8,2024,3,Entre Ríos,11.39,39.8,20243
66,6,2024,3,Corrientes,6.61,26.12,20243
67,7,2024,3,Córdoba,13.59,46.6,20243
68,5,2024,3,Chubut,8.68,30.65,20243
69,4,2024,3,Chaco,5.89,23.08,20243
70,3,2024,3,Catamarca,5.99,24.55,20243
71,2,2024,3,CABA,43.19,104.17,20243
72,1,2024,3,Buenos Aires,15.3,48.84,20243
73,24,2024,2,Tucumán,9.1,38.9,20242
74,23,2024,2,Tierra del Fuego,8.83,33.57,20242
75,22,2024,2,Santiago del Estero,6.06,25.68,20242
76,21,2024,2,Santa Fe,16.11,53.17,20242
77,20,2024,2,Santa Cruz,5.41,20.48,20242
78,19,2024,2,San Luis,5.44,20.2,20242
79,18,2024,2,San Juan,7.36,30.42,20242
80,17,2024,2,Salta,6.37,27.91,20242
81,16,2024,2,Río Negro,8.85,30.59,20242
82,15,2024,2,Neuquén,8.73,31.17,20242
83,14,2024,2,Misiones,6.25,24.2,20242
84,13,2024,2,Mendoza,8.33,31.34,20242
85,12,2024,2,La Rioja,5.79,23.18,20242
86,11,2024,2,La Pampa,17.52,55.37,20242
