Registro_ID,Año,Trimestre,Accesos telefonía fija cada 100 hab,Accesos telefonía fija cada 100 hogares,TiempoTrim_ID,Periodo,PenHab_QoQ_%,PenHab_YoY_%,PenHab_MovAvg4,PenHog_QoQ_%,PenHog_YoY_%,PenHog_MovAvg4
45,2014,1,22.49,74.04,20141,2014Q1,,,,,,
44,2014,2,22.4,73.65,20142,2014Q2,-0.40017785682525675,,,-0.5267423014586714,,
43,2014,3,22.49,73.86,20143,2014Q3,0.4017857142857073,,,0.28513238289205045,,
42,2014,4,22.61,74.16,20144,2014Q4,0.533570475767009,,22.4975,0.4061738424045558,,73.92750000000001
41,2015,1,23.47,76.89,20151,2015Q1,3.803626713843422,4.357492218763892,22.7425,3.681229773462791,3.8492706645056662,74.64
40,2015,2,23.18,75.87,20152,2015Q2,-1.235619940349375,3.482142857142856,22.9375,-1.3265704252828692,3.0142566191446063,75.19500000000001
39,2015,3,23.26,76.03,20153,2015Q3,0.3451251078516071,3.4237438861716374,23.13,0.2108870436272614,2.9379907933928973,75.7375
38,2015,4,23.03,75.17,20154,2015Q4,-0.9888220120378377,1.8575851393188847,23.235,-1.1311324477180085,1.3619201725997954,75.99000000000001
37,2016,1,23.57,76.86,20161,2016Q1,2.3447676943117557,0.4260758414997845,23.26,2.2482373287215696,-0.03901677721420693,75.9825
36,2016,2,23.83,77.65,20162,2016Q2,1.1030971574034654,2.8041415012942217,23.422500000000003,1.027842831121517,2.346118360353233,76.42750000000001
35,2016,3,23.2,75.53,20163,2016Q3,-2.643726395300039,-0.257953568357705,23.4075,-2.7301996136510076,-0.6576351440220951,76.3025
34,2016,4,23.44,76.32,20164,2016Q4,1.0344827586207028,1.7802865827182046,23.51,1.0459420097974181,1.5298656378874398,76.59
33,2017,1,23.57,76.86,20171,2017Q1,0.5546075085324231,0.0,23.509999999999998,0.70754716981134,0.0,76.59
32,2017,2,23.83,77.65,20172,2017Q2,1.1030971574034654,0.0,23.509999999999998,1.027842831121517,0.0,76.59
