"Año","Trimestre","Total de accesos pospago","Total de accesos prepago","Total de accesos operativos"
"2025","1","8.634.790","55.726.956","64.361.746"
"2024","4","8.566.191","55.515.808","64.081.999"
"2024","3","8.465.960","54.898.234","63.364.194"
"2024","2","8.397.205","54.421.319","62.818.524"
"2024","1","8.398.514","54.455.565","62.854.079"
"2023","4","8.301.200","54.407.950","62.709.150"
"2023","3","7.903.181","53.281.127","61.184.308"
"2023","2","7.310.125","53.572.899","60.883.024"
"2023","1","7.028.083","53.269.840","60.297.923"
"2022","4","6.546.406","53.157.521","59.703.927"
"2022","3","6.250.732","53.008.139","59.258.871"
"2022","2","6.245.815","52.865.377","59.111.192"
"2022","1","6.231.309","52.937.601","59.168.910"
"2021","4","6.186.994","52.878.833","59.065.827"
"2021","3","6.104.479","51.708.030","57.812.509"
"2021","2","6.046.091","50.829.471","56.875.562"
"2021","1","6.041.047","50.411.986","56.453.033"
"2020","4","5.556.299","49.207.602","54.763.900"
"2020","3","5.559.724","49.060.162","54.619.886"
"2020","2","5.659.667","49.391.056","55.050.723"
"2020","1","5.743.132","49.869.048","55.612.810"
"2019","4","5.797.378","50.133.536","55.930.914"
"2019","3","5.974.898","50.300.828","56.275.726"
"2019","2","5.924.037","51.672.054","57.596.091"
"2019","1","6.645.995","51.960.447","58.606.442"
"2018","4","6.488.017","52.110.024","58.598.041"
"2018","3","6.551.391","52.289.745","58.841.136"
"2018","2","6.637.444","52.828.949","59.466.393"
"2018","1","7.101.698","53.470.098","60.571.796"
"2017","4","7.108.228","54.789.151","61.897.379"
"2017","3","7.272.585","54.958.224","62.230.809"
"2017","2","7.415.230","55.483.528","62.898.758"
"2017","1","7.502.772","55.523.350","63.026.122"
"2016","4","7.637.635","56.082.170","63.719.805"
"2016","3","7.520.789","56.058.550","63.579.339"
"2016","2","7.565.115","54.557.406","62.122.521"
"2016","1","7.483.126","54.003.635","61.486.761"
"2015","4","7.594.526","54.247.485","61.842.011"
"2015","3","7.600.799","53.131.712","60.732.511"
"2015","2","7.633.527","52.241.939","59.875.466"
"2015","1","7.747.230","52.474.633","60.221.863"
"2014","4","8.027.505","53.093.330","61.120.835"
"2014","3","8.214.424","53.102.043","61.316.467"
"2014","2","7.953.775","53.009.865","60.963.640"
"2014","1","8.224.482","54.725.089","62.949.571"
"2013","4","8.674.516","58.894.516","67.569.032"
"2013","3","8.002.183","59.048.909","67.051.092"
"2013","2","7.769.110","58.004.822","65.773.932"
"2013","1","7.761.349","57.147.608","64.908.957"

