Registro_ID,Año,Trimestre,Minutos pospago salientes,Minutos prepago salientes,Total de Minutos salientes,TiempoTrim_ID,Periodo,porc_pospago_min,porc_prepago_min,Total_min_QoQ_%,Total_min_YoY_%,Total_min_MovAvg4
49,2013,1,8785943,6582117,15368060,20131,2013Q1,57.170150298736466,42.82984970126353,,,
48,2013,2,9512689,7108640,16621329,20132,2013Q2,57.23181942912026,42.76818057087974,8.1550241214571,,
47,2013,3,10315484,7335154,17650638,20133,2013Q3,58.44255601412255,41.55744398587745,6.192699753431263,,
46,2013,4,9809515,6250549,16060064,20134,2013Q4,61.08017377763875,38.91982622236125,-9.011424969454362,,16425022.75
45,2014,1,10128751,5799223,15927974,20141,2014Q1,63.590956389054874,36.40904361094512,-0.8224749291161015,3.6433616214408326,16565001.25
44,2014,2,10821463,6438071,17259534,20142,2014Q2,62.69846567120526,37.30153432879474,8.359883058573558,3.83967491408177,16724552.5
43,2014,3,11524344,7179152,18703495,20143,2014Q3,61.61599209131769,38.38401325527662,8.36616446307299,5.964979849453611,16987766.75
42,2014,4,11997330,7147630,19144961,20144,2014Q4,62.665732251948704,37.33426252474476,2.3603396049775682,19.208497550196558,17758991.0
41,2015,1,10273637,6480172,16753809,20151,2015Q1,61.32120164435443,38.67879835564557,-12.489719879815897,5.184808814981734,17965449.75
40,2015,2,11226576,6579819,17806395,20152,2015Q2,63.04800045152318,36.95199954847683,6.28266682519778,3.168457502966193,18102165.0
39,2015,3,11766711,7198826,18965537,20153,2015Q3,62.04259336289819,37.95740663710181,6.509694971946867,1.4010322669640196,18167675.5
38,2015,4,11905073,7301039,19206111,20154,2015Q4,61.985859604789326,38.01414560188682,1.2684797693838012,0.3194051949230836,18182963.0
37,2016,1,11230991,6656647,17887638,20161,2016Q1,62.78632763028858,37.21367236971142,-6.864861918167609,6.767589388180317,18466420.25
36,2016,2,11493027,6778732,18271759,20162,2016Q2,62.90049578696829,37.09950421303171,2.147410407120276,2.6134655554928443,18582761.25
35,2016,3,11923391,7077838,19001229,20163,2016Q3,62.75063049869038,37.24936950130962,3.9923359321891283,0.18819398575427027,18591684.25
34,2016,4,15960765,6938892,22899656,20164,2016Q4,69.6987107579258,30.30129360895203,20.51670973493347,19.231092645460613,19515070.5
33,2017,1,14630269,6209983,20840252,20171,2017Q1,70.201977404112,29.798022595887996,-8.993165661527847,16.50644987337064,20253224.0
32,2017,2,15315167,6293563,21608730,20172,2017Q2,70.87490565155842,29.12509434844158,3.6874698060272992,18.26299810543692,21087466.75
31,2017,3,15106275,6308373,21414647,20173,2017Q3,70.5417885244618,29.458216145239284,-0.8981693972760052,12.701378421364229,21690821.25
30,2017,4,14164552,5380710,19545262,20174,2017Q4,72.47051484907186,27.52948515092814,-8.729469133906342,-14.64822877688643,20852222.75
29,2018,1,13423580,5850985,19274565,20181,2018Q1,69.6440101242233,30.3559898757767,-1.3849750389634097,-7.512802628298354,20460801.0
28,2018,2,14240217,6027374,20267591,20182,2018Q2,70.26102411480475,29.738975885195234,5.1520021333814725,-6.2064684042051566,20125516.25
27,2018,3,14574305,6108477,20682782,20183,2018Q3,70.46588316794133,29.534116832058665,2.0485463713965757,-3.4175907732684085,19942550.0
26,2018,4,14915060,6613685,21528745,20184,2018Q4,69.27974668286517,30.720253317134837,4.090179938076033,10.148152529242127,20438420.75
25,2019,1,13733817,6182149,20364355,20191,2019Q1,67.44047135300872,30.357696082198526,-5.408536354534366,5.654031621465916,20710868.25
24,2019,2,13986048,6174603,20160651,20192,2019Q2,69.37299792551342,30.62700207448658,-1.0002968422029523,-0.5276404087688591,20684133.25
23,2019,3,13444769,6819314,20264083,20193,2019Q3,66.34777897425707,33.65222102574293,0.5130389886715436,-2.0243843405592155,20579458.5
