Registro_ID,Año,Trimestre,Ingresos TV por Suscripción (VFR),Ingresos TV Satelital,TiempoTrim_ID
1,2025,1,350120579.8,149937594.05,20251
2,2024,4,331442809.58,143311787.92,20244
3,2024,3,304976798.55,142478707.79,20243
4,2024,2,267412475.3,124814891.6,20242
5,2024,1,191632856.37,94270533.97,20241
6,2023,4,133582200.8,64748818.98,20234
7,2023,3,103738032.8,51179479.92,20233
8,2023,2,87015368.63,38625145.74,20232
9,2023,1,74739351.28,33430741.33,20231
10,2022,4,62432903.15,29721126.94,20224
11,2022,3,52399891.49,27073190.89,20223
12,2022,2,46322065.49,23559484.83,20222
13,2022,1,42113438.81,21268086.24,20221
14,2021,4,38273391.8,18038065.44,20214
15,2021,3,36398025.53,18039519.5,20213
16,2021,2,33674995.79,18038442.36,20212
17,2021,1,31924515.01,18038360.96,20211
18,2020,4,26324098.62,14479622.62,20204
19,2020,3,25386154.6,12933200.33,20203
20,2020,2,24620009.49,12544725.93,20202
21,2020,1,25147465.8,12352763.88,20201
22,2019,4,22785446.51,12150588.86,20194
23,2019,3,20284731.23,10896197.62,20193
24,2019,2,18392209.47,9937613.38,20192
25,2019,1,17479491.54,8816484.13,20191
26,2018,4,15211246.86,8270871.03,20184
27,2018,3,14197598.63,8179603.0,20183
28,2018,2,13358361.56,7797684.06,20182
29,2018,1,12277309.95,7145424.82,20181
30,2017,4,11642559.21,6844906.43,20174
31,2017,3,10764742.4,6093649.61,20173
32,2017,2,9936138.83,5764634.74,20172
33,2017,1,9607361.15,5262244.08,20171
34,2016,4,8517141.2,5016640.95,20164
35,2016,3,8293761.49,4653224.18,20163
36,2016,2,7353428.98,4400976.43,20162
37,2016,1,7137386.23,4069679.63,20161
38,2015,4,6347226.86,3635228.39,20154
39,2015,3,6130815.97,3439335.7,20153
40,2015,2,5467604.99,3196655.0,20152
41,2015,1,5292088.22,3021837.23,20151
42,2014,4,4711967.39,2686124.01,20144
43,2014,3,4423008.82,2530796.72,20143
44,2014,2,4053729.07,2341708.31,20142
45,2014,1,3599484.35,2001221.17,20141
