Registro_ID,Año,Trimestre,Hogares,Comercial,Gobierno,Otros,Total,TiempoTrim_ID,dif_total,Periodo,porc_hogares,porc_comercial,porc_gobierno,porc_otros
45,2014,1,7897980,1065834,30917,567500,9562231,20141,0,2014Q1,82.59557837496291,11.146290023740276,0.32332412801991506,5.934807473276895
44,2014,2,7872511,1073038,31339,572106,9548994,20142,0,2014Q2,82.44335476595754,11.237183728463961,0.3281916398732683,5.991269865705226
43,2014,3,7924613,1091747,32516,564485,9613361,20143,0,2014Q3,82.43332378759104,11.356558855950588,0.33823758412900545,5.871879772329365
42,2014,4,7989623,1106502,33139,560488,9689752,20144,0,2014Q4,82.4543600290286,11.419301546623691,0.3420004970199444,5.784337927327758
41,2015,1,8358053,1134427,36888,556853,10086221,20151,0,2015Q1,82.86605062490699,11.247294700363991,0.36572666809501797,5.5209280066340005
40,2015,2,8291156,1103025,34419,562590,9991190,20152,0,2015Q2,82.98466949382406,11.039976219048981,0.3444934987724185,5.63086078835454
39,2015,3,8364541,1095767,35230,555079,10050617,20153,0,2015Q3,83.22415429818886,10.902484892221045,0.35052574384239293,5.522835065747705
38,2015,4,8380800,1003363,35161,556474,9975798,20154,0,2015Q4,84.0113242068454,10.057972304571525,0.3524630310276932,5.578240457555376
37,2016,1,8950226,721226,37841,530088,10239381,20161,0,2016Q1,87.4098346374649,7.043648439295305,0.36956335544111507,5.176953567798678
36,2016,2,9037000,759247,38093,545409,10379749,20162,0,2016Q2,87.06376233182517,7.314695181935517,0.36699346005380284,5.254549026185508
35,2016,3,8829818,724585,37068,539018,10130489,20163,0,2016Q3,87.16082708347051,7.15251751420884,0.3659053378370975,5.320750064483561
34,2016,4,8971186,721607,37856,530163,10260812,20164,0,2016Q4,87.43154050576113,7.0326500475790805,0.36893766302316033,5.1668717836366165
33,2017,1,8950226,721226,37841,530088,10239381,20171,0,2017Q1,87.4098346374649,7.043648439295305,0.36956335544111507,5.176953567798678
32,2017,2,9037000,759247,38093,545409,10379749,20172,0,2017Q2,87.06376233182517,7.314695181935517,0.36699346005380284,5.254549026185508
31,2017,3,8829818,724585,37068,539018,10130489,20173,0,2017Q3,87.16082708347051,7.15251751420884,0.3659053378370975,5.320750064483561
30,2017,4,8971186,721607,37856,530163,10260812,20174,0,2017Q4,87.43154050576113,7.0326500475790805,0.36893766302316033,5.1668717836366165
29,2018,1,8490573,711654,37447,427247,9666921,20181,0,2018Q1,87.8312029238679,7.36174424100497,0.3873725667148826,4.4196802684122485
28,2018,2,8638311,712144,38473,314771,9703699,20182,0,2018Q2,89.02080536504687,7.33889210702022,0.39647767310177284,3.2438248548311317
27,2018,3,8656721,709503,38828,289936,9694988,20183,0,2018Q3,89.29068297970045,7.318245262397436,0.400495596281295,2.990576161620829
26,2018,4,8764892,715700,39825,285500,9805917,20184,0,2018Q4,89.38370577682842,7.2986544756599505,0.40613233826066447,2.9115074092509654
25,2019,1,7360178,655594,34826,276802,8327400,20191,0,2019Q1,88.38506616711098,7.872733386170953,0.4182097653529313,3.323990681365132
24,2019,2,7177951,640458,34264,277310,8129983,20192,0,2019Q2,88.28986481275545,7.877728649617103,0.42145229577970833,3.4109542418477385
23,2019,3,7069250,619801,34329,169309,7892689,20193,0,2019Q3,89.56706643325234,7.852849643511862,0.4349468223060607,2.145137100929734
22,2019,4,6942553,618847,34546,166866,7762812,20194,0,2019Q4,89.43348106330541,7.971943671958048,0.44501915027698724,2.149556114459554
21,2020,1,6778310,605915,33415,137990,7555630,20201,0,2020Q1,89.71204254311024,8.01938422077312,0.44225299544842717,1.826320240668217
20,2020,2,6694729,598402,34391,135735,7463257,20202,0,2020Q2,89.7025119193939,8.017973922109341,0.46080417705031457,1.8187099814464383
19,2020,3,6712162,542624,36283,141479,7432548,20203,0,2020Q3,90.30768452487627,7.300645754322743,0.48816368222579926,1.9035060385751965
18,2020,4,6621370,579315,34155,129192,7364032,20204,0,2020Q4,89.91500851707326,7.8668180692316385,0.46380841365165165,1.7543650000434545
17,2021,1,6459673,557287,34041,149460,7200461,20211,0,2021Q1,89.71193649962134,7.739601672726232,0.4727613968050101,2.0757004308474136
16,2021,2,6378508,545706,34144,123358,7081716,20212,0,2021Q2,90.07009035663107,7.7058441767503805,0.48214302861057967,1.7419224380079632
15,2021,3,6311742,536500,34225,120836,7003303,20213,0,2021Q3,90.12521662992448,7.660670971968512,0.4886979757979913,1.7254144223090164
14,2021,4,6933738,538714,34262,119641,7626355,20214,0,2021Q4,90.91811225677273,7.063846359106021,0.4492578695851426,1.5687835145361053
13,2022,1,6452832,627770,26807,115796,7223205,20221,0,2022Q1,89.33474821772329,8.691017353100182,0.37112334483099957,1.6031110843455223
12,2022,2,6307810,610291,26749,112884,7057734,20222,0,2022Q2,89.37443661095756,8.64712385023295,0.3790026657281218,1.5994368730813602
11,2022,3,6292004,597354,26497,108792,7024647,20223,0,2022Q3,89.57039407104726,8.503687089187542,0.37720044864887875,1.548718391116308
10,2022,4,6307995,594245,27073,111559,7040872,20224,0,2022Q4,89.59110462454083,8.439934712632185,0.384512032032396,1.5844486307945949
9,2023,1,6182939,695300,27143,107378,7012760,20231,0,2023Q1,88.16698418311763,9.914783908190214,0.3870516030778181,1.5311803056143374
8,2023,2,6345802,694975,27297,100202,7168276,20232,0,2023Q2,88.5261951409237,9.695148456895355,0.3808028597113169,1.397853542469626
7,2023,3,6323673,685453,27460,96169,7132755,20233,0,2023Q3,88.65680932542895,9.609933328706791,0.38498448355509196,1.3482728623091638
6,2023,4,6242915,669618,27789,93889,7034211,20234,0,2023Q4,88.75074972871869,9.519447170407599,0.39505496778529964,1.334748133088416
5,2024,1,6161229,630018,27462,89347,6908056,20241,0,2024Q1,89.1890424744675,9.120047666087247,0.3975358624770847,1.2933739969681775
4,2024,2,6242915,669618,27789,93889,7034211,20242,0,2024Q2,88.75074972871869,9.519447170407599,0.39505496778529964,1.334748133088416
3,2024,3,5901212,599293,27486,80908,6608899,20243,0,2024Q3,89.29190777465354,9.067970323044731,0.4158937820051419,1.224228120296588
2,2024,4,5741731,574124,28041,77738,6421634,20244,0,2024Q4,89.41230534159997,8.940465931256748,0.43666456232167705,1.2105641648216015
1,2025,1,6415831,5750070,563439,28150,74172,20251,-12683318,2025Q1,8649.936633770156,7752.34589872189,759.6384080245915,37.952327023674705
