Registro_ID,Año,Trimestre,Ingresos,TiempoTrim_ID,Periodo,Ingresos_QoQ_%,Ingresos_YoY_%,Ingresos_MovAvg4
45,2014,1,2916071.75,20141,2014Q1,,,
44,2014,2,2974865.2,20142,2014Q2,2.016186673047393,,
43,2014,3,3105462.02,20143,2014Q3,4.3900079909503065,,
42,2014,4,3339690.9,20144,2014Q4,7.54248090916918,,3084022.4675000003
41,2015,1,3260124.75,20151,2015Q1,-2.382440542626263,11.798509415963455,3170035.7175000003
40,2015,2,3425518.48,20152,2015Q2,5.073233163853619,15.148695813174996,3282699.0375
39,2015,3,3590883.18,20153,2015Q3,4.827435641217148,15.631205819738225,3404054.3274999997
38,2015,4,3815364.12,20154,2015Q4,6.2514130576645455,14.243031293704455,3522972.6325000003
37,2016,1,4198260.39,20161,2016Q1,10.0356416309749,28.776065701166797,3757506.5425000004
36,2016,2,4718769.82,20162,2016Q2,12.39821691955607,37.753448056131944,4080819.3775000004
35,2016,3,4951967.66,20163,2016Q3,4.941920222758389,37.903891933348824,4421090.4975000005
34,2016,4,4964596.39,20164,2016Q4,0.2550244845500371,30.121168880730554,4708398.5649999995
33,2017,1,6375681.76,20171,2017Q1,28.422962495849546,51.86484800196016,5252753.9075
32,2017,2,6970617.23,20172,2017Q2,9.331323180722872,47.72106917476216,5815715.76
31,2017,3,6667943.53,20173,2017Q3,-4.342136284536746,34.652404616067315,6244709.7275
30,2017,4,5514336.19,20174,2017Q4,-17.300796487099223,11.073202266901717,6382144.6775
29,2018,1,8252279.99,20181,2018Q1,49.651376079774344,29.433687261078113,6851294.235
28,2018,2,7911723.07,20182,2018Q2,-4.126822168087873,13.501040280187638,7086570.695
27,2018,3,10111350.57,20183,2018Q3,27.802129580857525,51.641214783953025,7947422.455
26,2018,4,8997157.88,20184,2018Q4,-11.019227177284973,63.159400696604976,8818127.877500001
25,2019,1,12238568.39,20191,2019Q1,36.027049355279296,48.30529750360544,9814699.977500001
24,2019,2,14181055.21,20192,2019Q2,15.871846756089415,79.24104628702582,11382033.012500001
23,2019,3,13404569.15,20193,2019Q3,-5.475516796891455,32.569522312586585,12205337.6575
22,2019,4,20321577.16,20194,2019Q4,51.60186748710234,125.86662845133931,15036442.4775
21,2020,1,17067597.82,20201,2020Q1,-16.01243503090387,39.45746982911618,16243699.835
20,2020,2,21035522.89,20202,2020Q2,23.248292535639315,48.33538533272517,17957316.755
19,2020,3,18162023.89,20203,2020Q3,-13.660221402749261,35.491291713766124,19146680.44
18,2020,4,19750303.98,20204,2020Q4,8.745061121048892,-2.8111655680173597,19003862.145000003
17,2021,1,21378667.69,20211,2021Q1,8.244752646080533,25.258796905492133,20081629.6125
16,2021,2,22178751.89,20212,2021Q2,3.7424418191141173,5.434754372297901,20367436.8625
15,2021,3,20789995.21,20213,2021Q3,-6.261653887864471,14.469595106341426,21024429.6925
14,2021,4,40616059.17,20214,2021Q4,95.36348498273657,105.64776730084535,26240868.490000002
13,2022,1,30583344.0,20221,2022Q1,-24.701350586495117,43.05542535892235,28542037.567500003
12,2022,2,31258182.51,20222,2022Q2,2.206555666378418,40.93751832849419,30811895.2225
11,2022,3,29698512.57,20223,2022Q3,-4.989637319767515,42.850021224223255,33039024.5625
10,2022,4,32356913.92,20224,2022Q4,8.951294593404624,-20.334678988503153,30974238.25
9,2023,1,60878900.19,20231,2023Q1,88.14804261159897,99.05900476416183,38548127.2975
8,2023,2,64560388.19,20232,2023Q2,6.047231452129154,106.53916192774831,46873678.7175
7,2023,3,58985969.28,20233,2023Q3,-8.634425947989321,98.6159042173202,54195542.894999996
6,2023,4,62663319.9,20234,2023Q4,6.234280227801303,93.66284453125002,61772144.38999999
5,2024,1,133124773.73,20241,2024Q1,112.44449534822682,118.67144990222269,79833612.775
4,2024,2,201945871.73,20242,2024Q2,51.69668730448402,212.8015140424452,114179983.66
3,2024,3,182869465.22,20243,2024Q3,-9.44629684507985,210.02197209295397,145150857.64499998
2,2024,4,348120760.42,20244,2024Q4,90.36571250492555,455.5415209017676,216515217.775
1,2025,1,218787514.99,20251,2025Q1,-37.151833540166436,64.34770843910601,237930903.09
