Registro_ID,Provincia_ID,Año,Trimestre,Provincias,Accesos telefonía fija cada 100 hab,Accesos telefonía fija cada 100 hogares,TiempoTrim_ID,Periodo,PenHab_QoQ_%,PenHab_YoY_%,PenHog_QoQ_%,PenHog_YoY_%
1080,1,2014,1,Buenos Aires,26.72,85.26,20141,2014Q1,,,,
1056,1,2014,2,Buenos Aires,26.61,84.74,20142,2014Q2,-0.41167664670658244,,-0.6098991320666269,
1032,1,2014,3,Buenos Aires,26.69,84.85,20143,2014Q3,0.300638857572344,,0.129808827000244,
1008,1,2014,4,Buenos Aires,26.96,85.55,20144,2014Q4,1.011614837017616,,0.8249852681202263,
984,1,2015,1,Buenos Aires,28.93,91.61,20151,2015Q1,7.307121661721072,8.270958083832337,7.083576855639984,7.447806708890448
960,1,2015,2,Buenos Aires,28.03,88.59,20152,2015Q2,-3.110957483581056,5.336339721909056,-3.2965833424298596,4.543308945008273
936,1,2015,3,Buenos Aires,28.24,89.06,20153,2015Q3,0.7491972886193299,5.807418508804796,0.5305339203070414,4.961697112551566
912,1,2015,4,Buenos Aires,28.17,88.65,20154,2015Q4,-0.2478753541076406,4.4881305637982205,-0.4603637996856036,3.6236119228521435
888,1,2016,1,Buenos Aires,29.04,91.2,20161,2016Q1,3.088391906283272,0.3802281368821214,2.876480541455151,-0.44754939417094297
864,1,2016,2,Buenos Aires,29.22,91.58,20162,2016Q2,0.6198347107438051,4.24545130217624,0.4166666666666652,3.3750987696128165
840,1,2016,3,Buenos Aires,28.33,88.63,20163,2016Q3,-3.04585900068447,0.31869688385268713,-3.221227342214461,-0.4828205704019872
816,1,2016,4,Buenos Aires,28.86,90.08,20164,2016Q4,1.8708083303918155,2.449414270500516,1.6360148933769691,1.6130851663846535
792,1,2017,1,Buenos Aires,29.04,91.2,20171,2017Q1,0.6237006237006293,0.0,1.243339253996445,0.0
768,1,2017,2,Buenos Aires,29.22,91.58,20172,2017Q2,0.6198347107438051,0.0,0.4166666666666652,0.0
744,1,2017,3,Buenos Aires,28.33,88.63,20173,2017Q3,-3.04585900068447,0.0,-3.221227342214461,0.0
720,1,2017,4,Buenos Aires,28.86,90.08,20174,2017Q4,1.8708083303918155,0.0,1.6360148933769691,0.0
696,1,2018,1,Buenos Aires,25.89,79.97,20181,2018Q1,-10.291060291060283,-10.847107438016524,-11.22335701598579,-12.313596491228074
672,1,2018,2,Buenos Aires,26.06,80.31,20182,2018Q2,0.6566241792197669,-10.814510609171801,0.4251594347880472,-12.306180388731159
648,1,2018,3,Buenos Aires,26.08,80.19,20183,2018Q3,0.07674597083653367,-7.942110836569006,-0.14942099364961825,-9.522734965587276
624,1,2018,4,Buenos Aires,26.4,80.98,20184,2018Q4,1.2269938650306678,-8.52390852390853,0.9851602444195029,-10.102131438721129
600,1,2019,1,Buenos Aires,20.58,63.0,20191,2019Q1,-22.045454545454547,-20.509849362688303,-22.20301308965177,-21.220457671626857
576,1,2019,2,Buenos Aires,16.33,49.88,20192,2019Q2,-20.651117589893097,-37.33691481197238,-20.825396825396826,-37.890673639646366
552,1,2019,3,Buenos Aires,19.63,59.81,20193,2019Q3,20.208205756276797,-24.731595092024538,19.907778668805133,-25.414640229455042
528,1,2019,4,Buenos Aires,19.21,58.41,20194,2019Q4,-2.139582272032592,-27.234848484848474,-2.3407456946998972,-27.871079278834287
504,1,2020,1,Buenos Aires,18.65,56.57,20201,2020Q1,-2.9151483602290584,-9.378036929057332,-3.1501455230268705,-10.206349206349207
480,1,2020,2,Buenos Aires,14.19,42.94,20202,2020Q2,-23.914209115281494,-13.104715248009791,-24.09404277885806,-13.913392141138747
456,1,2020,3,Buenos Aires,18.4,55.56,20203,2020Q3,29.668780831571517,-6.265919510952623,29.38984629715884,-7.105835144624639
432,1,2020,4,Buenos Aires,18.35,55.28,20204,2020Q4,-0.27173913043476716,-4.4768349817803195,-0.5039596832253412,-5.358671460366371
408,1,2021,1,Buenos Aires,18.32,55.58,20211,2021Q1,-0.16348773841962094,-1.7694369973190294,0.542691751085389,-1.7500441930351829
384,1,2021,2,Buenos Aires,13.65,41.31,20212,2021Q2,-25.49126637554585,-3.8054968287526414,-25.67470313062252,-3.7959944108057697
360,1,2021,3,Buenos Aires,18.01,54.38,20213,2021Q3,31.941391941391938,-2.119565217391284,31.638828370854522,-2.123830093592516
336,1,2021,4,Buenos Aires,18.81,56.67,20214,2021Q4,4.441976679622406,2.50681198910081,4.211107024641403,2.5144717800289484
312,1,2022,1,Buenos Aires,17.51,53.12,20221,2022Q1,-6.911217437533212,-4.421397379912662,-6.264337391918129,-4.426052536883773
288,1,2022,2,Buenos Aires,12.98,39.29,20222,2022Q2,-25.870930896630504,-4.908424908424913,-26.035391566265055,-4.889857177438883
264,1,2022,3,Buenos Aires,17.74,53.56,20223,2022Q3,36.67180277349766,-1.4991671293725917,36.31967421735811,-1.5079073188672298
240,1,2022,4,Buenos Aires,17.76,53.5,20224,2022Q4,0.11273957158963732,-5.5821371610845105,-0.11202389843166793,-5.593788600670546
216,1,2023,1,Buenos Aires,16.8,50.96,20231,2023Q1,-5.405405405405405,-4.054825813820684,-4.747663551401871,-4.0662650602409585
192,1,2023,2,Buenos Aires,13.35,40.4,20232,2023Q2,-20.535714285714292,2.850539291217258,-20.722135007849296,2.8251463476711702
168,1,2023,3,Buenos Aires,18.17,54.85,20233,2023Q3,36.10486891385769,2.423900789177025,35.76732673267327,2.4085138162807995
144,1,2023,4,Buenos Aires,17.87,53.84,20234,2023Q4,-1.6510731975784343,0.6193693693693714,-1.8413855970829451,0.6355140186915964
120,1,2024,1,Buenos Aires,16.1,51.65,20241,2024Q1,-9.904868494683827,-4.1666666666666625,-4.067607726597333,1.3540031397174301
96,1,2024,2,Buenos Aires,11.39,36.44,20242,2024Q2,-29.25465838509317,-14.681647940074905,-29.448209099709587,-9.8019801980198
72,1,2024,3,Buenos Aires,15.3,48.84,20243,2024Q3,34.32835820895524,-15.795266923500284,34.02854006586171,-10.95715587967183
48,1,2024,4,Buenos Aires,15.73,50.1,20244,2024Q4,2.8104575163398593,-11.975377728035818,2.5798525798525818,-6.946508172362565
24,1,2025,1,Buenos Aires,15.65,50.22,20251,2025Q1,-0.5085823267641398,-2.795031055900632,0.23952095808381646,-2.7686350435624396
1079,2,2014,1,CABA,52.66,128.57,20141,2014Q1,,,,
1055,2,2014,2,CABA,52.56,127.68,20142,2014Q2,-0.18989745537408842,,-0.6922299136656984,
1031,2,2014,3,CABA,52.69,127.35,20143,2014Q3,0.24733637747336168,,-0.25845864661655504,
1007,2,2014,4,CABA,52.93,127.29,20144,2014Q4,0.4554944012146622,,-0.0471142520612422,
983,2,2015,1,CABA,53.53,128.08,20151,2015Q1,1.1335726431135562,1.6521078617546703,0.6206300573493584,-0.38111534572604633
959,2,2015,2,CABA,54.18,128.99,20152,2015Q2,1.2142723706332958,3.082191780821919,0.7104934415989916,1.0260025062656553
935,2,2015,3,CABA,53.27,126.17,20153,2015Q3,-1.6795865633074891,1.100778136268743,-2.186215985735329,-0.9265802905378817
911,2,2015,4,CABA,51.45,121.24,20154,2015Q4,-3.41655716162943,-2.79614585301341,-3.9074264880716525,-4.752926388561562
887,2,2016,1,CABA,52.62,123.37,20161,2016Q1,2.274052478134103,-1.699981318886612,1.756845925437167,-3.67738913179263
863,2,2016,2,CABA,51.66,121.27,20162,2016Q2,-1.8244013683010318,-4.651162790697683,-1.7021966442409053,-5.984960074424384
839,2,2016,3,CABA,52.45,123.09,20163,2016Q3,1.5292295780100718,-1.539327951942937,1.5007833759379974,-2.4411508282475958
815,2,2016,4,CABA,52.87,125.25,20164,2016Q4,0.8007626310772009,2.7599611273080527,1.754813551060197,3.30748927746618
791,2,2017,1,CABA,52.62,123.37,20171,2017Q1,-0.4728579534707733,0.0,-1.5009980039920157,0.0
767,2,2017,2,CABA,51.66,121.27,20172,2017Q2,-1.8244013683010318,0.0,-1.7021966442409053,0.0
743,2,2017,3,CABA,52.45,123.09,20173,2017Q3,1.5292295780100718,0.0,1.5007833759379974,0.0
719,2,2017,4,CABA,52.87,125.25,20174,2017Q4,0.8007626310772009,0.0,1.754813551060197,0.0
695,2,2018,1,CABA,56.48,134.65,20181,2018Q1,6.8280688481180185,7.335613835043708,7.504990019960078,9.143227689065414
671,2,2018,2,CABA,56.81,135.61,20182,2018Q2,0.5842776203966116,9.969028261711198,0.7129595246936571,11.824853632390543
647,2,2018,3,CABA,57.86,138.28,20183,2018Q3,1.8482661503256503,10.314585319351766,1.9688813509328051,12.34056381509465
623,2,2018,4,CABA,57.12,136.67,20184,2018Q4,-1.2789491876944337,8.038585209003223,-1.1643043100954653,9.117764471057876
