Año,Trimestre,Provincia,Banda Ancha Fija,Dial Up,Total,Periodo
2025,1,Buenos Aires,5285374,5522,5290896,2025-T1
2025,1,CABA,1476158,2778,1478936,2025-T1
2025,1,Catamarca,79017,0,79017,2025-T1
2025,1,Chaco,167656,50,167661,2025-T1
2025,1,Chubut,183958,7630,184721,2025-T1
2025,1,Córdoba,1125143,590,1125202,2025-T1
2025,1,Corrientes,163901,30,163904,2025-T1
2025,1,Entre Ríos,303799,200,303819,2025-T1
2025,1,Formosa,66050,0,66050,2025-T1
2025,1,Jujuy,131870,0,131870,2025-T1
2025,1,La Pampa,129449,1490,129598,2025-T1
2025,1,La Rioja,88589,40,88593,2025-T1
2025,1,Mendoza,343841,6570,344498,2025-T1
2025,1,Misiones,213028,0,213028,2025-T1
2025,1,Neuquén,192448,3990,192847,2025-T1
2025,1,Río Negro,182554,4820,183036,2025-T1
2025,1,Salta,191765,50,191770,2025-T1
2025,1,San Juan,128427,2240,128651,2025-T1
2025,1,San Luis,177714,1410,177855,2025-T1
2025,1,Santa Cruz,83277,1770,83454,2025-T1
2025,1,Santa Fe,918809,1390,918948,2025-T1
2025,1,Santiago Del Estero,116538,20,116540,2025-T1
2025,1,Tierra Del Fuego,57983,2970,58280,2025-T1
2025,1,Tucumán,272417,260,272443,2025-T1
2024,4,Buenos Aires,5215620,5561,5221181,2024-T4
2024,4,CABA,1461395,2792,1464187,2024-T4
2024,4,Catamarca,77427,0,77427,2024-T4
2024,4,Chaco,163855,50,163860,2024-T4
2024,4,Chubut,180272,7760,181048,2024-T4
2024,4,Córdoba,1107249,590,1107308,2024-T4
2024,4,Corrientes,159753,30,159756,2024-T4
2024,4,Entre Ríos,300825,200,300845,2024-T4
2024,4,Formosa,65155,0,65155,2024-T4
2024,4,Jujuy,130707,0,130707,2024-T4
2024,4,La Pampa,128192,1490,128341,2024-T4
2024,4,La Rioja,87805,40,87809,2024-T4
2024,4,Mendoza,337271,6640,337935,2024-T4
2024,4,Misiones,211185,0,211185,2024-T4
2024,4,Neuquén,186707,4050,187112,2024-T4
2024,4,Río Negro,178985,4870,179472,2024-T4
2024,4,Salta,189700,50,189705,2024-T4
2024,4,San Juan,126615,2240,126839,2024-T4
2024,4,San Luis,175625,1440,175769,2024-T4
2024,4,Santa Cruz,82681,1780,82859,2024-T4
2024,4,Santa Fe,908637,1390,908776,2024-T4
2024,4,Santiago Del Estero,110880,20,110882,2024-T4
2024,4,Tierra Del Fuego,56977,2970,57274,2024-T4
2024,4,Tucumán,270162,260,270188,2024-T4
2024,3,Buenos Aires,5018987,59,5024887,2024-T3
2024,3,CABA,1457405,205,1459455,2024-T3
2024,3,Catamarca,76947,10,76948,2024-T3
2024,3,Chaco,162362,50,162367,2024-T3
2024,3,Chubut,174952,8570,175809,2024-T3
2024,3,Córdoba,1107263,630,1107326,2024-T3
2024,3,Corrientes,158407,30,158410,2024-T3
2024,3,Entre Ríos,297547,200,297567,2024-T3
2024,3,Formosa,63917,0,63917,2024-T3
2024,3,Jujuy,130285,0,130285,2024-T3
2024,3,La Pampa,127348,1620,127510,2024-T3
2024,3,La Rioja,87799,40,87803,2024-T3
2024,3,Mendoza,306813,7300,307543,2024-T3
2024,3,Misiones,209118,0,209118,2024-T3
2024,3,Neuquén,168237,4390,168676,2024-T3
2024,3,Río Negro,177310,5150,177825,2024-T3
2024,3,Salta,203784,50,203789,2024-T3
2024,3,San Juan,107528,2470,107775,2024-T3
2024,3,San Luis,170306,1650,170471,2024-T3
2024,3,Santa Cruz,84172,1870,84359,2024-T3
2024,3,Santa Fe,935119,1400,935259,2024-T3
2024,3,Santiago Del Estero,129107,20,129109,2024-T3
2024,3,Tierra Del Fuego,57788,3050,58093,2024-T3
