Año;Trimestre;Ingresos;Periodo
2025;1;671895963,18;2025-T1
2024;4;697603364,84;2024-T4
2024;3;541734583,5;2024-T3
2024;2;442032166,69;2024-T2
2024;1;346198986,13;2024-T1
2023;4;167376014,8;2023-T4
2023;3;133106593,41;2023-T3
2023;2;118060280,28;2023-T2
2023;1;104134992,81;2023-T1
2022;4;72443482,99;2022-T4
2022;3;64086784,33;2022-T3
2022;2;60419500,62;2022-T2
2022;1;55219313,01;2022-T1
2021;4;45467887,17;2021-T4
2021;3;42999944,29;2021-T3
2021;2;38239666,63;2021-T2
2021;1;36676371,36;2021-T1
2020;4;33539702,72;2020-T4
2020;3;31997444,53;2020-T3
2020;2;32102475,99;2020-T2
2020;1;29946216,45;2020-T1
2019;4;24169250,7;2019-T4
2019;3;21652748,44;2019-T3
2019;2;20743117,69;2019-T2
2019;1;20207413,77;2019-T1
2018;4;16637686,59;2018-T4
2018;3;15410980,69;2018-T3
2018;2;14319467,46;2018-T2
2018;1;13171459,23;2018-T1
2017;4;11226127,39;2017-T4
2017;3;10065997,86;2017-T3
2017;2;9678646,93;2017-T2
2017;1;8701201,42;2017-T1
2016;4;7483980,39;2016-T4
2016;3;6912441,54;2016-T3
2016;2;6534240,6;2016-T2
2016;1;5936844,89;2016-T1
2015;4;5376899,21;2015-T4
2015;3;5153738,88;2015-T3
2015;2;4701790,72;2015-T2
2015;1;4876385,32;2015-T1
2014;4;3950440,78;2014-T4
2014;3;3478637,74;2014-T3
2014;2;3270816,2;2014-T2
2014;1;2984054,21;2014-T1
