"Año","Trimestre","Provincias","Accesos cada 100 Hogares","Accesos cada 100 Habitantes"
"2025","1","Buenos Aires","83,46","28,90"
"2025","1","CABA","117,91","47,92"
"2025","1","Catamarca","72,02","18,32"
"2025","1","Chaco","49,90","13,34"
"2025","1","Chubut","90,52","27,74"
"2025","1","Córdoba","93,44","28,60"
"2025","1","Corrientes","53,53","14,09"
"2025","1","Entre Ríos","70,42","21,05"
"2025","1","Formosa","41,43","10,54"
"2025","1","Jujuy","63,77","16,31"
"2025","1","La Pampa","105,77","34,85"
"2025","1","La Rioja","79,82","21,24"
"2025","1","Mendoza","59,33","16,56"
"2025","1","Misiones","59,12","16,10"
"2025","1","Neuquén","92,29","27,47"
"2025","1","Río Negro","75,27","23,15"
"2025","1","Salta","52,63","12,75"
"2025","1","San Juan","61,66","15,70"
"2025","1","San Luis","115,70","33,11"
"2025","1","Santa Cruz","68,75","20,45"
"2025","1","Santa Fe","79,87","25,11"
"2025","1","Santiago Del Estero","45,87","11,38"
"2025","1","Tierra Del Fuego","101,62","30,12"
"2025","1","Tucumán","61,61","15,26"
"2024","4","Buenos Aires","82,76","28,58"
"2024","4","CABA","116,63","47,45"
"2024","4","Catamarca","70,70","17,98"
"2024","4","Chaco","48,88","13,06"
"2024","4","Chubut","89,05","27,29"
"2024","4","Córdoba","92,16","28,21"
"2024","4","Corrientes","52,27","13,76"
"2024","4","Entre Ríos","69,88","20,89"
"2024","4","Formosa","40,94","10,42"
"2024","4","Jujuy","63,36","16,20"
"2024","4","La Pampa","104,94","34,57"
"2024","4","La Rioja","79,34","21,12"
"2024","4","Mendoza","58,33","16,28"
"2024","4","Misiones","58,74","16,00"
"2024","4","Neuquén","89,80","26,73"
"2024","4","Río Negro","74,01","22,76"
"2024","4","Salta","52,21","12,64"
"2024","4","San Juan","60,94","15,52"
"2024","4","San Luis","114,67","32,81"
"2024","4","Santa Cruz","68,64","20,42"
"2024","4","Santa Fe","79,13","24,88"
"2024","4","Santiago Del Estero","43,75","10,86"
"2024","4","Tierra Del Fuego","100,42","29,77"
"2024","4","Tucumán","61,26","15,17"
"2024","3","Buenos Aires","80,02","27,57"
"2024","3","CABA","116,15","47,30"
"2024","3","Catamarca","70,40","17,91"
"2024","3","Chaco","48,54","12,97"
"2024","3","Chubut","86,79","26,60"
"2024","3","Córdoba","92,38","28,28"
"2024","3","Corrientes","51,92","13,67"
"2024","3","Entre Ríos","69,26","20,71"
"2024","3","Formosa","40,23","10,24"
"2024","3","Jujuy","63,31","16,19"
"2024","3","La Pampa","104,46","34,41"
"2024","3","La Rioja","79,57","21,18"
"2024","3","Mendoza","53,21","14,85"
"2024","3","Misiones","58,31","15,88"
"2024","3","Neuquén","81,18","24,16"
"2024","3","Río Negro","73,54","22,62"
"2024","3","Salta","56,24","13,62"
"2024","3","San Juan","51,90","13,22"
"2024","3","San Luis","111,53","31,91"
"2024","3","Santa Cruz","70,28","20,91"
"2024","3","Santa Fe","81,58","25,65"
"2024","3","Santiago Del Estero","51,06","12,67"
"2024","3","Tierra Del Fuego","102,44","30,36"
"2024","3","Tucumán","61,99","15,35"
"2024","2","Buenos Aires","79,84","27,43"
"2024","2","CABA","116,37","47,44"
"2024","2","Catamarca","68,81","17,50"
"2024","2","Chaco","44,06","11,78"
"2024","2","Chubut","86,33","26,46"
"2024","2","Córdoba","90,79","27,79"
"2024","2","Corrientes","51,38","13,53"
"2024","2","Entre Ríos","68,64","20,52"
"2024","2","Formosa","39,69","10,10"
"2024","2","Jujuy","58,30","14,91"
"2024","2","La Pampa","101,17","33,33"
"2024","2","La Rioja","79,52","21,17"
"2024","2","Mendoza","52,30","14,60"
"2024","2","Misiones","57,73","15,72"
"2024","2","Neuquén","78,93","23,49"
"2024","2","Río Negro","71,35","21,95"
"2024","2","Salta","55,72","13,49"
"2024","2","San Juan","51,17","13,03"
"2024","2","San Luis","103,40","29,59"
"2024","2","Santa Cruz","69,92","20,80"
"2024","2","Santa Fe","81,34","25,58"
"2024","2","Santiago Del Estero","49,67","12,33"
"2024","2","Tierra Del Fuego","108,89","32,28"
"2024","2","Tucumán","60,84","15,07"
"2024","1","Buenos Aires","81,10","27,80"
"2024","1","CABA","119,53","48,78"
"2024","1","Catamarca","68,82","17,50"
"2024","1","Chaco","46,70","12,48"
"2024","1","Chubut","84,89","26,02"
"2024","1","Córdoba","90,70","27,77"
"2024","1","Corrientes","51,94","13,68"
"2024","1","Entre Ríos","69,31","20,72"
"2024","1","Formosa","39,61","10,08"
"2024","1","Jujuy","57,65","14,74"
"2024","1","La Pampa","100,49","33,11"
"2024","1","La Rioja","80,03","21,30"
"2024","1","Mendoza","52,59","14,67"
"2024","1","Misiones","56,76","15,46"
"2024","1","Neuquén","79,50","23,66"
"2024","1","Río Negro","71,14","21,88"
"2024","1","Salta","56,30","13,63"
"2024","1","San Juan","51,62","13,15"
"2024","1","San Luis","102,70","29,39"
"2024","1","Santa Cruz","67,58","20,10"
"2024","1","Santa Fe","80,40","25,28"
"2024","1","Santiago Del Estero","49,41","12,26"
"2024","1","Tierra Del Fuego","109,78","32,54"
"2024","1","Tucumán","60,48","14,98"
"2023","4","Buenos Aires","80,96","27,68"
"2023","4","CABA","117,02","47,80"
"2023","4","Catamarca","68,63","17,46"
"2023","4","Chaco","44,35","11,85"
"2023","4","Chubut","84,96","26,04"
"2023","4","Córdoba","90,67","27,76"
"2023","4","Corrientes","52,56","13,84"
"2023","4","Entre Ríos","69,94","20,91"
"2023","4","Formosa","39,23","9,98"
"2023","4","Jujuy","57,78","14,77"
"2023","4","La Pampa","99,96","32,93"
"2023","4","La Rioja","80,22","21,35"
"2023","4","Mendoza","52,15","14,55"
"2023","4","Misiones","56,27","15,33"
"2023","4","Neuquén","79,91","23,78"
"2023","4","Río Negro","70,26","21,61"
