Año,Trimestre,Banda Ancha Fija,Dial Up,Total,Periodo
2025,1,12079765,11852,12091617,2025-T1
2024,4,11913680,1194,11925620,2024-T4
2024,3,11685135,11827,11696962,2024-T3
2024,2,11544314,11793,11556107,2024-T2
2024,1,11621363,11793,11633156,2024-T1
2023,4,11535868,11793,11547661,2023-T4
2023,3,11395115,11793,11406908,2023-T3
2023,2,11239781,12116,11251897,2023-T2
2023,1,11229459,12436,11241895,2023-T1
2022,4,11195668,12446,11208114,2022-T4
2022,3,11078691,12437,11091128,2022-T3
2022,2,10946248,12436,10958684,2022-T2
2022,1,10611390,12619,10624009,2022-T1
2021,4,10476933,12861,10489794,2021-T4
2021,3,10075184,10357,10085541,2021-T3
2021,2,9852702,10382,9863084,2021-T2
2021,1,9637956,10016,9647972,2021-T1
2020,4,9561546,10016,9571562,2020-T4
2020,3,9346183,10016,9356199,2020-T3
2020,2,9021040,10016,9031056,2020-T2
2020,1,8802435,9991,8812426,2020-T1
2019,4,8783053,10128,8793181,2019-T4
2019,3,9142891,21793,9164684,2019-T3
2019,2,8938427,21754,8960181,2019-T2
2019,1,8626323,21812,8648135,2019-T1
2018,4,8451841,21814,8473655,2018-T4
2018,3,8320223,26812,8347035,2018-T3
2018,2,8083533,26911,8110444,2018-T2
2018,1,8009981,27072,8037053,2018-T1
2017,4,7842778,27444,7870222,2017-T4
2017,3,7696594,28349,7724943,2017-T3
2017,2,7401134,2853,7429664,2017-T2
2017,1,7277314,2854,7305854,2017-T1
2016,4,7223128,28545,7251673,2016-T4
2016,3,7178340,2861,7206950,2016-T3
2016,2,7097604,32475,7130079,2016-T2
2016,1,6874704,32652,6907356,2016-T1
2015,4,6952289,32542,6984831,2015-T4
2015,3,6902267,32801,6935068,2015-T3
2015,2,6783279,32909,6816188,2015-T2
2015,1,6699714,38018,6737732,2015-T1
2014,4,6559172,39324,6598496,2014-T4
2014,3,6559264,36007,6595271,2014-T3
2014,2,6428329,36139,6464468,2014-T2
2014,1,6362108,3629,6398398,2014-T1
