1;Buenos Aires;Buenos Aires;2014-T1;2014;1;2725732;14144;2739876;54.57;16.69;1567685;1000879;120960;16528;33824;2739876;8469;171244;2279875;121787;38923;206;4037;0;2624542;3.73
2;CABA;CABA;2014-T1;2014;1;1289204;10714;1299918;112.25;42.66;445569;820161;17767;1866;14555;1299918;852;88826;1096050;70293;38798;55;6208;0;1301081;4.02
3;Catamarca;Catamarca;2014-T1;2014;1;24209;230;24232;24.25;6.18;24126;46;17;0;43;24232;19;9147;13330;1672;64;0;0;0;24232;2.80
4;Chaco;Chaco;2014-T1;2014;1;62520;360;62556;20.72;5.55;52971;9497;30;0;58;62556;438;15849;40869;4644;741;5;0;0;62546;3.26
5;Chubut;Chubut;2014-T1;2014;1;68205;2016;70221;41.24;12.70;51066;539;866;10776;6974;70221;7452;10;61329;0;0;0;0;0;68791;3.18
6;Córdoba;Córdoba;2014-T1;2014;1;566705;2050;566910;52.52;16.13;336841;225769;347;3585;368;566910;2076;107705;423114;24112;9818;40;588;0;567453;3.39
7;Corrientes;Corrientes;2014-T1;2014;1;62203;330;62236;22.32;5.89;52565;8279;31;1306;55;62236;20;16357;40742;4486;630;0;0;0;62235;3.22
8;Entre Ríos;Entre Ríos;2014-T1;2014;1;134216;1150;134331;34.37;10.30;107883;21379;49;4887;133;134331;2177;35206;85248;10828;746;0;43;0;134248;3.17
9;Formosa;Formosa;2014-T1;2014;1;25335;870;25422;17.42;4.44;20774;4548;0;0;100;25422;2062;8475;13685;1133;67;0;0;0;25422;2.57
10;Jujuy;Jujuy;2014-T1;2014;1;33825;20;33827;18.42;4.72;29765;4030;23;0;9;33827;1832;11498;18415;2002;56;0;0;0;33803;2.69
11;La Pampa;La Pampa;2014-T1;2014;1;53601;5920;54193;48.43;15.99;15826;31305;513;5848;701;54193;7434;6535;32501;17;5;4;10;0;46506;2.65
12;La Rioja;La Rioja;2014-T1;2014;1;15688;230;15711;16.29;4.35;15663;0;14;0;34;15711;10;5111;9390;1165;35;0;0;0;15711;2.96
13;Mendoza;Mendoza;2014-T1;2014;1;164084;1761;165845;31.91;8.93;148970;12076;2480;37;2282;165845;35;6;166655;19;10;6;9;0;166740;3.50
14;Misiones;Misiones;2014-T1;2014;1;73950;0;73950;23.14;6.32;56597;17191;4;150;8;73950;545;14460;52852;5139;958;0;0;0;73954;3.40
15;Neuquén;Neuquén;2014-T1;2014;1;88077;2303;90380;49.79;14.88;47790;28161;997;10381;3051;90380;4133;987;77148;84;1582;2;22;0;83958;3.55
16;Río Negro;Río Negro;2014-T1;2014;1;93909;1157;95066;44.91;13.87;64886;24156;876;3576;1572;95066;4670;4618;84304;73;1062;1;8;0;94736;3.35
17;Salta;Salta;2014-T1;2014;1;91265;250;91290;28.70;6.98;73131;17538;45;8;568;91290;53;19677;64061;7192;314;0;0;0;91297;3.30
18;San Juan;San Juan;2014-T1;2014;1;50543;7550;51298;27.60;7.05;48161;434;722;808;1173;51298;531;2;51056;0;0;0;0;0;51589;3.47
19;San Luis;San Luis;2014-T1;2014;1;12193;3640;12557;9.35;2.68;11306;428;354;21;448;12557;7;3;12544;0;1;0;2;0;12557;3.50
20;Santa Cruz;Santa Cruz;2014-T1;2014;1;26304;4600;26764;28.94;8.68;18927;100;381;4092;3264;26764;161;1625;24972;1;1;0;0;0;26760;3.32
21;Santa Fe;Santa Fe;2014-T1;2014;1;506000;6120;506612;47.85;15.08;322662;174296;3059;5951;644;506612;8456;124468;345225;20328;6845;23;668;0;506013;3.15
22;Santiago Del Estero;Santiago Del Estero;2014-T1;2014;1;37124;90;37133;16.31;4.06;32567;3598;19;915;34;37133;1234;10531;22817;2422;109;0;0;0;37113;2.95
23;Tierra Del Fuego;Tierra Del Fuego;2014-T1;2014;1;27272;7660;28038;63.97;19.10;21618;2837;648;1;2934;28038;12;607;30902;6;0;0;0;0;31527;3.45
24;Tucumán;Tucumán;2014-T1;2014;1;129944;880;130032;33.42;8.31;129717;83;121;13;98;130032;6;34672;83210;11779;362;3;0;0;130032;3.21
25;Buenos Aires;Buenos Aires;2014-T2;2014;2;2750430;14116;2764546;55.06;16.79;1568881;1025490;120008;17020;33147;2764546;6902;162274;2288772;140226;56549;284;4309;0;2659316;3.85
26;CABA;CABA;2014-T2;2014;2;1299502;10713;1310215;113.14;42.97;447637;828411;17729;1883;14555;1310215;847;81431;1078213;87359;56004;59;6427;0;1310340;4.25
27;Catamarca;Catamarca;2014-T2;2014;2;24660;230;24683;24.70;6.28;24380;243;17;0;43;24683;19;8844;13794;1915;111;0;0;0;24683;2.92
28;Chaco;Chaco;2014-T2;2014;2;63243;360;63279;20.96;5.60;53321;9870;30;0;58;63279;412;14854;41530;5418;1085;5;0;0;63304;3.42
29;Chubut;Chubut;2014-T2;2014;2;68503;2016;70519;41.41;12.70;51070;649;866;10960;6974;70519;2064;6582;61868;0;0;0;0;0;70514;3.16
30;Córdoba;Córdoba;2014-T2;2014;2;576747;2050;576952;53.45;16.37;337825;234729;351;3673;374;576952;2105;101598;429536;28698;14824;76;627;0;577464;3.56
31;Corrientes;Corrientes;2014-T2;2014;2;62925;330;62958;22.58;5.95;52883;8680;31;1309;55;62958;20;15563;41219;5199;956;0;0;0;62957;3.37
32;Entre Ríos;Entre Ríos;2014-T2;2014;2;135468;1150;135583;34.69;10.37;108900;21706;49;4795;133;135583;2187;32781;86757;12564;1162;0;44;0;135495;3.31
33;Formosa;Formosa;2014-T2;2014;2;25535;650;25600;17.54;4.46;20894;4628;0;0;78;25600;2032;8218;13944;1321;85;0;0;0;25600;2.65
34;Jujuy;Jujuy;2014-T2;2014;2;34359;20;34361;18.71;4.78;30128;4161;23;40;9;34361;1873;11233;18851;2305;82;0;0;0;34344;2.77
35;La Pampa;La Pampa;2014-T2;2014;2;55048;5800;55628;49.71;16.38;15957;32600;513;5869;689;55628;7032;6761;34089;18;5;4;10;0;47919;2.68
36;La Rioja;La Rioja;2014-T2;2014;2;15889;230;15912;16.50;4.39;15864;0;14;0;34;15912;10;4785;9719;1337;61;0;0;0;15912;3.10
37;Mendoza;Mendoza;2014-T2;2014;2;165046;1761;166807;32.10;8.96;148979;13030;2480;36;2282;166807;35;6;166710;31;10;5;10;0;166807;3.50
38;Misiones;Misiones;2014-T2;2014;2;74689;0;74689;23.37;6.37;56933;17594;4;150;8;74689;540;13644;53245;5924;1334;2;0;0;74689;3.54
39;Neuquén;Neuquén;2014-T2;2014;2;90053;2235;92288;50.84;15.14;47767;29776;997;10765;2983;92288;1531;3206;79087;92;2289;2;30;0;86237;3.66
40;Río Negro;Río Negro;2014-T2;2014;2;94812;1145;95957;45.33;13.95;64920;24944;876;3657;1560;95957;3468;5507;84978;78;1569;2;8;0;95610;3.43
41;Salta;Salta;2014-T2;2014;2;91949;250;91974;28.91;7.00;73841;17504;45;7;577;91974;53;18818;64440;8293;388;0;0;0;91992;3.39
42;San Juan;San Juan;2014-T2;2014;2;50891;7550;51646;27.78;7.08;48161;451;722;1139;1173;51646;10;507;51129;0;0;0;0;0;51646;3.47
43;San Luis;San Luis;2014-T2;2014;2;12691;3640;13055;9.72;2.78;11306;925;354;22;448;13055;7;0;13045;0;0;1;2;0;13055;3.50
44;Santa Cruz;Santa Cruz;2014-T2;2014;2;26710;4590;27169;29.38;8.74;18956;448;381;4118;3266;27169;153;1637;25374;2;0;0;0;0;27166;3.32
45;Santa Fe;Santa Fe;2014-T2;2014;2;511753;6050;512358;48.39;15.22;324101;178495;3085;6041;636;512358;8515;115197;353559;23939;10058;34;792;0;512094;3.31
46;Santiago Del Estero;Santiago Del Estero;2014-T2;2014;2;38002;90;38011;16.70;4.14;32820;4231;19;907;34;38011;1231;9914;23842;2867;142;0;0;0;37996;3.07
47;Tierra Del Fuego;Tierra Del Fuego;2014-T2;2014;2;27443;7660;28209;64.36;19.09;21618;3008;648;1;2934;28209;12;334;31198;2;0;0;0;0;31546;3.47
48;Tucumán;Tucumán;2014-T2;2014;2;131981;880;132069;33.94;8.41;131740;97;121;13;98;132069;6;32714;84675;14101;559;4;0;0;132059;3.35
49;Buenos Aires;Buenos Aires;2014-T3;2014;3;2835537;14028;2849565;56.75;17.26;1562533;1110628;124474;20049;31881;2849565;7355;128187;2281524;156693;68947;243;4232;0;2647181;3.97
50;CABA;CABA;2014-T3;2014;3;1307195;1063;1317825;113.80;43.21;450155;833402;17886;1995;14387;1317825;840;78016;1060145;102170;70907;95;6626;0;1318799;4.44
51;Catamarca;Catamarca;2014-T3;2014;3;24665;210;24686;24.71;6.27;24380;244;15;0;47;24686;19;8845;13790;1915;111;0;0;0;24680;2.92
52;Chaco;Chaco;2014-T3;2014;3;63710;360;63746;21.11;5.63;53321;10336;29;1;59;63746;398;14731;41934;5428;1274;5;0;0;63770;3.46
53;Chubut;Chubut;2014-T3;2014;3;67130;2007;69137;40.60;12.39;49219;668;882;11853;6515;69137;2013;6281;60771;34;0;0;0;0;69099;3.17
54;Córdoba;Córdoba;2014-T3;2014;3;585231;2000;585431;54.23;16.56;340212;240334;444;4064;377;585431;660;98992;435692;28992;18888;84;664;0;583972;3.66
55;Corrientes;Corrientes;2014-T3;2014;3;63516;330;63549;22.79;5.99;52957;9184;31;1312;65;63549;21;15448;41717;5181;1172;0;0;0;63539;3.41
56;Entre Ríos;Entre Ríos;2014-T3;2014;3;136618;1150;136733;34.98;10.43;108907;22440;48;5203;135;136733;1709;29710;91450;12569;1310;0;48;0;136796;3.40
57;Formosa;Formosa;2014-T3;2014;3;25873;640;25937;17.77;4.51;21021;4836;0;0;80;25937;2001;8323;14202;1324;85;0;0;0;25935;2.66
58;Jujuy;Jujuy;2014-T3;2014;3;33739;20;33741;18.37;4.68;30128;3541;22;37;13;33741;127;10979;20216;2305;82;0;0;0;33709;2.93
59;La Pampa;La Pampa;2014-T3;2014;3;61861;5640;62425;55.78;18.34;16051;33940;538;11219;677;62425;6458;6645;41009;24;5;4;10;0;54155;2.82
60;La Rioja;La Rioja;2014-T3;2014;3;15893;230;15916;16.51;4.38;15864;0;14;1;37;15916;10;4785;9720;1337;61;0;0;0;15913;3.10
61;Mendoza;Mendoza;2014-T3;2014;3;166184;174;167924;32.31;8.99;150120;13030;2512;40;2222;167924;35;0;167763;31;12;13;1;0;167855;3.50
62;Misiones;Misiones;2014-T3;2014;3;75327;0;75327;23.57;6.40;56933;18373;4;3;14;75327;640;13637;53510;5928;1606;0;1;0;75322;3.58
63;Neuquén;Neuquén;2014-T3;2014;3;100099;2268;102367;56.40;16.73;54458;30964;1000;12858;3087;102367;1522;3099;80090;107;2865;10;27;0;87720;3.74
64;Río Negro;Río Negro;2014-T3;2014;3;96629;1151;97780;46.20;14.16;65264;26590;888;3533;1505;97780;3640;5189;86868;87;1944;8;9;0;97745;3.48
65;Salta;Salta;2014-T3;2014;3;92929;250;92954;29.22;7.05;73828;18394;43;109;580;92954;732;17481;66026;8314;388;0;0;0;92941;3.41
66;San Juan;San Juan;2014-T3;2014;3;51031;7480;51779;27.85;7.08;48272;451;731;1199;1126;51779;8;487;51276;0;0;0;0;0;51771;3.47
67;San Luis;San Luis;2014-T3;2014;3;12683;3630;13046;9.71;2.77;11303;925;355;25;438;13046;8;0;13029;0;0;3;0;0;13040;3.50
