ID_Acceso_UT;ID_Localidad;ID_Tecnologia;Accesos
1;6588100;ADSL;3147
2;6588100;CABLEMODEM;3443
3;6588100;DIAL UP;79
4;6588100;FIBRA OPTICA;8778
5;6588100;SATELITAL;69
6;6588100;WIRELESS;831
7;6588030;SATELITAL;17
8;6588030;WIRELESS;19
9;6588010;ADSL;450
10;6588010;Otros;60
11;6588010;SATELITAL;15
12;6588020;FIBRA OPTICA;62
13;6588020;SATELITAL;10
14;6588040;SATELITAL;12
15;6588040;WIRELESS;474
16;6588050;SATELITAL;13
17;6588060;ADSL;193
18;6588060;FIBRA OPTICA;1
19;6588060;SATELITAL;17
20;6588070;SATELITAL;5
21;6588080;SATELITAL;4
22;6588080;WIRELESS;130
23;6588090;SATELITAL;8
24;6588110;ADSL;90
25;6588110;FIBRA OPTICA;2
26;6588110;SATELITAL;7
27;6588110;WIRELESS;50
28;6588120;FIBRA OPTICA;210
29;6588120;SATELITAL;8
30;6588120;WIRELESS;42
31;6854100;ADSL;529
32;6854100;CABLEMODEM;4600
33;6854100;FIBRA OPTICA;4
34;6854100;SATELITAL;895
35;6854100;WIRELESS;727
36;6854010;SATELITAL;13
37;6854020;ADSL;181
38;6854020;Otros;10
39;6854020;SATELITAL;18
40;6854030;ADSL;75
41;6854030;SATELITAL;7
42;6854040;FIBRA OPTICA;7
43;6854040;SATELITAL;8
44;6854040;WIRELESS;225
45;6854050;SATELITAL;13
46;6854060;CABLEMODEM;782
47;6854060;FIBRA OPTICA;950
48;6854060;Otros;20
49;6854060;SATELITAL;29
50;6854060;WIRELESS;128
51;6854070;ADSL;372
52;6854070;FIBRA OPTICA;240
53;6854070;SATELITAL;10
54;6854070;WIRELESS;7
55;6854080;SATELITAL;17
56;6854090;SATELITAL;23
57;6007010;ADSL;732
58;6007010;DIAL UP;1
59;6007010;FIBRA OPTICA;1417
60;6007010;Otros;1
61;6007010;SATELITAL;25
62;6007010;WIRELESS;1073
63;6007020;FIBRA OPTICA;208
64;6007020;SATELITAL;9
65;6007030;SATELITAL;4
66;6007050;FIBRA OPTICA;60
67;6007050;SATELITAL;3
68;6007060;SATELITAL;3
69;6007070;FIBRA OPTICA;390
70;6007070;SATELITAL;17
71;6007070;WIRELESS;14
72;6007080;FIBRA OPTICA;1310
73;6007080;SATELITAL;9
74;6007010;SATELITAL;3
75;6007100;SATELITAL;2
76;6007110;SATELITAL;18
77;6014010;ADSL;355
