ID_Localidad;ID_Provincia;Partido;Localidad
1000000;Buenos Aires;AMBA;Otros
1000001;Buenos Aires;Bolívar;Otros
1000002;Buenos Aires;Ezeiza;Otros
1000003;Buenos Aires;General Lavalle;Otros
1000004;Buenos Aires;General Pueyrredón;Otros
1000005;Buenos Aires;General San Martín;Otros
1000006;Buenos Aires;Ituzaingó;Otros
1000007;Buenos Aires;La Plata;Otros
1000008;Buenos Aires;Luján;Otros
1000009;Buenos Aires;Merlo;Otros
1000010;Buenos Aires;Necochea;Otros
1000011;Buenos Aires;Otros;Otros
1000012;Buenos Aires;Patagones;Otros
1000013;Buenos Aires;Pilar;Otros
1000014;Buenos Aires;Rauch;Otros
1000015;Buenos Aires;Tandil;Otros
1000016;Buenos Aires;Tigre;Otros
1000017;Buenos Aires;Trenque Lauquen;Otros
1000018;Chaco;Fray Justo Santa María De Oro;Otros
1000019;Chaco;Otros;Otros
1000020;Chaco;San Fernando;Otros
1000021;Chubut;Gaiman;Otros
1000022;Córdoba;Capital;Otros
1000023;Córdoba;Colón;Otros
1000024;Córdoba;Otros;Otros
1000025;Córdoba;Río Cuarto;Otros
1000026;Córdoba;Río Primero;Otros
1000027;Córdoba;San Justo;Transito
1000028;Córdoba;Santa María;Otros
1000029;Corrientes;Otros;Otros
1000030;Entre Ríos;Diamante;Otros
1000031;Entre Ríos;Nogoyá;Otros
1000032;Entre Ríos;Otros;Otros
1000033;Entre Ríos;Paraná;Otros
1000034;Formosa;Laishi;Otros
1000035;Formosa;Patiño;Otros
1000036;Formosa;Ramón Lista;Otros
1000037;Jujuy;Otros;Otros
1000038;Jujuy;SANTA BARBARA;Otros
1000039;La Pampa;Otros;Otros
1000040;La Rioja;Independencia;Otros
1000041;Mendoza;Guaymallén;Otros
1000042;Mendoza;Junín;Otros
1000043;Mendoza;San Martín;Otros
1000044;Misiones;Cainguás;Otros
1000045;Misiones;Otros;Otros
1000046;Misiones;San Pedro;Otros
1000047;Neuquén;Confluencia;Otros
1000048;Río Negro;Conesa;Otros
1000049;Salta;Capital;Otros
1000050;Salta;Otros;Otros
1000051;San Juan;9 de Julio;Otros
1000052;San Juan;Albardón;Otros
1000053;San Juan;Angaco;Otros
1000054;San Juan;Otros;Otros
1000055;San Juan;Valle Fértil;Otros
1000056;San Luis;Ayacucho;Otros
1000057;San Luis;Coronel Pringles;Otros
1000058;San Luis;Otros;Otros
1000059;Santa Fe;Las Colonias;Otros
1000060;Santa Fe;Otros;Otros
