ID_Periodo;Año;Trimestre
2014-T1;2014;1
2014-T2;2014;2
2014-T3;2014;3
2014-T4;2014;4
2015-T1;2015;1
2015-T2;2015;2
2015-T3;2015;3
2015-T4;2015;4
2016-T1;2016;1
2016-T2;2016;2
2016-T3;2016;3
2016-T4;2016;4
2017-T1;2017;1
2017-T2;2017;2
2017-T3;2017;3
2017-T4;2017;4
2018-T1;2018;1
2018-T2;2018;2
2018-T3;2018;3
2018-T4;2018;4
2019-T1;2019;1
2019-T2;2019;2
2019-T3;2019;3
2019-T4;2019;4
2020-T1;2020;1
2020-T2;2020;2
2020-T3;2020;3
2020-T4;2020;4
2021-T1;2021;1
2021-T2;2021;2
2021-T3;2021;3
2021-T4;2021;4
2022-T1;2022;1
2022-T2;2022;2
2022-T3;2022;3
2022-T4;2022;4
2023-T1;2023;1
2023-T2;2023;2
2023-T3;2023;3
2023-T4;2023;4
2024-T1;2024;1
2024-T2;2024;2
2024-T3;2024;3
2024-T4;2024;4
2025-T1;2025;1
