ID_Acceso_Loc;ID_Localidad;Velocidad;Accesos;ID_Rango_Velocidad
1;6588100;1;6;0–10 Mbps
2;6588100;3;217;0–10 Mbps
3;6588100;5;169;0–10 Mbps
4;6588100;6;32;0–10 Mbps
5;6588100;7;235;0–10 Mbps
6;6588100;8;1;0–10 Mbps
7;6588100;10;94;10–30 Mbps
8;6588100;15;7;10–30 Mbps
9;6588100;20;3;10–30 Mbps
10;6588100;30;912;30–50 Mbps
11;6588100;50;611;50–100 Mbps
12;6588100;100;1;100–300 Mbps
13;6588100;200;1;100–300 Mbps
14;6588100;300;1;300–1000 Mbps
15;6588100;500;30;300–1000 Mbps
16;6588100;1000;15;>1000 Mbps
17;6588100;226,5;68;100–300 Mbps
18;6588030;3;11;0–10 Mbps
19;6588030;226,5;17;100–300 Mbps
20;6588010;3;510;0–10 Mbps
21;6588010;226,5;15;100–300 Mbps
22;6588020;20;62;10–30 Mbps
23;6588020;226,5;10;100–300 Mbps
24;6588040;1;8;0–10 Mbps
25;6588040;3;36;0–10 Mbps
26;6588040;4;247;0–10 Mbps
27;6588040;6;46;0–10 Mbps
28;6588040;10;52;10–30 Mbps
29;6588040;226,5;12;100–300 Mbps
30;6588050;226,5;13;100–300 Mbps
31;6588060;2;193;0–10 Mbps
32;6588060;226,5;17;100–300 Mbps
33;6588070;226,5;5;100–300 Mbps
34;6588080;3;130;0–10 Mbps
35;6588080;226,5;4;100–300 Mbps
36;6588090;226,5;8;100–300 Mbps
37;6588110;3;50;0–10 Mbps
38;6588110;15;90;10–30 Mbps
39;6588110;30;2;30–50 Mbps
40;6588110;226,5;7;100–300 Mbps
41;6588120;3;42;0–10 Mbps
42;6588120;15;89;10–30 Mbps
43;6588120;20;92;10–30 Mbps
44;6588120;30;21;30–50 Mbps
45;6588120;50;7;50–100 Mbps
46;6588120;100;1;100–300 Mbps
47;6588120;226,5;8;100–300 Mbps
48;6854100;0;2;0–10 Mbps
49;6854100;1;7;0–10 Mbps
50;6854100;2;1;0–10 Mbps
51;6854100;3;107;0–10 Mbps
52;6854100;0,5;2;0–10 Mbps
53;6854100;5;1;0–10 Mbps
54;6854100;6;51;0–10 Mbps
55;6854100;10;303;10–30 Mbps
56;6854100;12;336;10–30 Mbps
57;6854100;14;2;10–30 Mbps
58;6854100;15;264;10–30 Mbps
59;6854100;20;153;10–30 Mbps
60;6854100;25;84;10–30 Mbps
61;6854100;30;2;30–50 Mbps
62;6854100;40;13;30–50 Mbps
63;6854100;50;1;50–100 Mbps
64;6854100;80;6;50–100 Mbps
65;6854100;100;1;100–300 Mbps
66;6854100;300;94;300–1000 Mbps
67;6854100;500;3;300–1000 Mbps
68;6854100;226,5;153;100–300 Mbps
69;6854010;12;21;10–30 Mbps
70;6854010;20;10;10–30 Mbps
71;6854010;226,5;13;100–300 Mbps
72;6854020;3;181;0–10 Mbps
73;6854020;0,5;1;0–10 Mbps
74;6854020;10;10;10–30 Mbps
75;6854020;226,5;17;100–300 Mbps
76;6854030;5;75;0–10 Mbps
77;6854030;226,5;7;100–300 Mbps
78;6854040;6;154;0–10 Mbps
79;6854040;8;58;0–10 Mbps
80;6854040;10;2;10–30 Mbps
81;6854040;12;8;10–30 Mbps
82;6854040;15;7;10–30 Mbps
83;6854040;30;2;30–50 Mbps
84;6854040;65;1;50–100 Mbps
85;6854040;226,5;8;100–300 Mbps
86;6854050;226,5;13;100–300 Mbps
87;6854060;2;83;0–10 Mbps
88;6854060;3;25;0–10 Mbps
89;6854060;4;5;0–10 Mbps
90;6854060;5;5;0–10 Mbps
91;6854060;6;862;0–10 Mbps
92;6854060;10;1;10–30 Mbps
93;6854060;15;742;10–30 Mbps
94;6854060;25;91;10–30 Mbps
95;6854060;50;56;50–100 Mbps
96;6854060;70;4;50–100 Mbps
97;6854060;100;6;100–300 Mbps
98;6854060;226,5;29;100–300 Mbps
99;6854070;6;2;0–10 Mbps
100;6854070;10;374;10–30 Mbps
101;6854070;15;3;10–30 Mbps
102;6854070;50;240;50–100 Mbps
103;6854070;226,5;10;100–300 Mbps
104;6854080;12;38;10–30 Mbps
105;6854080;20;11;10–30 Mbps
106;6854080;226,5;17;100–300 Mbps
107;6854090;12;64;10–30 Mbps
108;6854090;20;20;10–30 Mbps
109;6854090;226,5;23;100–300 Mbps
110;6007010;3;772;0–10 Mbps
111;6007010;6;5;0–10 Mbps
112;6007010;7;103;0–10 Mbps
113;6007010;10;25;10–30 Mbps
114;6007010;15;1;10–30 Mbps
115;6007010;30;1;30–50 Mbps
116;6007010;31;266;30–50 Mbps
117;6007010;50;820;50–100 Mbps
118;6007010;61;31;50–100 Mbps
119;6007010;100;2;100–300 Mbps
120;6007010;226,5;25;100–300 Mbps
121;6007020;3;208;0–10 Mbps
122;6007020;226,5;9;100–300 Mbps
123;6007030;226,5;4;100–300 Mbps
124;6007050;3;60;0–10 Mbps
125;6007050;226,5;3;100–300 Mbps
126;6007060;226,5;3;100–300 Mbps
127;6007070;0;10;0–10 Mbps
128;6007070;0,5;2;0–10 Mbps
129;6007070;5;386;0–10 Mbps
130;6007070;10;6;10–30 Mbps
131;6007070;20;2;10–30 Mbps
132;6007070;226,5;15;100–300 Mbps
133;6007080;0;1;0–10 Mbps
134;6007080;20;1;10–30 Mbps
135;6007080;35;26;30–50 Mbps
136;6007080;50;31;50–100 Mbps
137;6007080;226,5;9;100–300 Mbps
138;6007010;226,5;3;100–300 Mbps
139;6007100;226,5;2;100–300 Mbps
140;6007110;226,5;18;100–300 Mbps
141;6014010;1;2;0–10 Mbps
142;6014010;3;57;0–10 Mbps
143;6014010;5;2;0–10 Mbps
144;6014010;6;28;0–10 Mbps
145;6014010;8;310;0–10 Mbps
146;6014010;10;217;10–30 Mbps
147;6014010;12;1;10–30 Mbps
148;6014010;15;1;10–30 Mbps
149;6014010;30;44;30–50 Mbps
150;6014010;50;1;50–100 Mbps
151;6014010;226,5;34;100–300 Mbps
152;6014020;0;26;0–10 Mbps
153;6014020;4;573;0–10 Mbps
154;6014020;7;38;0–10 Mbps
155;6014020;8;28;0–10 Mbps
156;6014020;10;59;10–30 Mbps
157;6014020;15;18;10–30 Mbps
158;6014020;226,5;18;100–300 Mbps
159;6014030;4;48;0–10 Mbps
160;6014030;226,5;13;100–300 Mbps
161;6014040;3;12;0–10 Mbps
162;6014040;4;2;0–10 Mbps
163;6014040;226,5;3;100–300 Mbps
164;6021010;0;1;0–10 Mbps
165;6021010;1;2;0–10 Mbps
166;6021010;2;1;0–10 Mbps
167;6021010;3;8;0–10 Mbps
168;6021010;5;1;0–10 Mbps
169;6021010;6;7;0–10 Mbps
170;6021010;9;1;0–10 Mbps
171;6021010;10;42;10–30 Mbps
172;6021010;15;142;10–30 Mbps
173;6021010;226,5;16;100–300 Mbps
174;6021020;15;5;10–30 Mbps
175;6021020;226,5;2;100–300 Mbps
176;6021030;3;275;0–10 Mbps
177;6021030;5;10;0–10 Mbps
178;6021030;226,5;7;100–300 Mbps
179;6021040;226,5;4;100–300 Mbps
180;6021050;226,5;9;100–300 Mbps
181;6021060;226,5;1;100–300 Mbps
182;6021070;15;24;10–30 Mbps
183;6021070;226,5;1;100–300 Mbps
184;6028010;0;1;0–10 Mbps
185;6028010;1;25;0–10 Mbps
186;6028010;2;8;0–10 Mbps
187;6028010;3;4;0–10 Mbps
188;6028010;4;7;0–10 Mbps
189;6028010;0,5;4;0–10 Mbps
190;6028010;5;2;0–10 Mbps
191;6028010;6;14;0–10 Mbps
192;6028010;8;10;0–10 Mbps
193;6028010;10;21;10–30 Mbps
194;6028010;15;1;10–30 Mbps
195;6028010;25;1;10–30 Mbps
196;6028010;0,26;1;0–10 Mbps
197;6028010;30;12;30–50 Mbps
198;6028010;3,5;14;0–10 Mbps
199;6028010;46;47;30–50 Mbps
200;6028010;50;510;50–100 Mbps
201;6028010;0,51;1;0–10 Mbps
202;6028010;0,75;2;0–10 Mbps
203;6028010;99;224;50–100 Mbps
204;6028010;100;4;100–300 Mbps
205;6028010;101;232;100–300 Mbps
206;6028010;200;59;100–300 Mbps
207;6028010;300;11;300–1000 Mbps
208;6028010;301;9;300–1000 Mbps
209;6028010;302;326;300–1000 Mbps
210;6028010;400;147;300–1000 Mbps
211;6028010;499;2;300–1000 Mbps
212;6028010;500;608;300–1000 Mbps
