ID_Acceso_Prov;ID_Provincia;Velocidad;Accesos;ID_Periodo;ID_Rango_Velocidad
1;Buenos Aires;1;35185;2017-T4;0–10 Mbps
2;Buenos Aires;4;142091;2017-T4;0–10 Mbps
3;Buenos Aires;6;4087;2017-T4;0–10 Mbps
4;Buenos Aires;9;12080;2017-T4;0–10 Mbps
5;Buenos Aires;10;79;2017-T4;10–30 Mbps
6;Buenos Aires;12;4;2017-T4;10–30 Mbps
7;Buenos Aires;1,2;19861;2017-T4;0–10 Mbps
8;Buenos Aires;14;2;2017-T4;10–30 Mbps
9;Buenos Aires;15;1;2017-T4;10–30 Mbps
10;Buenos Aires;16;45163;2017-T4;10–30 Mbps
11;Buenos Aires;17;112;2017-T4;10–30 Mbps
12;Buenos Aires;19;51889;2017-T4;10–30 Mbps
13;Buenos Aires;22;1;2017-T4;10–30 Mbps
14;Buenos Aires;2,2;29124;2017-T4;0–10 Mbps
15;Buenos Aires;25;2;2017-T4;10–30 Mbps
16;Buenos Aires;0,26;114182;2017-T4;0–10 Mbps
17;Buenos Aires;31;183194;2017-T4;30–50 Mbps
18;Buenos Aires;3,2;26245;2017-T4;0–10 Mbps
19;Buenos Aires;41;13;2017-T4;30–50 Mbps
20;Buenos Aires;4,5;3277;2017-T4;0–10 Mbps
21;Buenos Aires;50;1;2017-T4;50–100 Mbps
22;Buenos Aires;0,51;3865;2017-T4;0–10 Mbps
23;Buenos Aires;61;1;2017-T4;50–100 Mbps
24;Buenos Aires;6,4;1346370;2017-T4;0–10 Mbps
25;Buenos Aires;71;2;2017-T4;50–100 Mbps
26;Buenos Aires;7,5;1764;2017-T4;0–10 Mbps
27;Buenos Aires;97;1;2017-T4;50–100 Mbps
28;Buenos Aires;10,1;250722;2017-T4;10–30 Mbps
29;Buenos Aires;122;2;2017-T4;100–300 Mbps
30;Buenos Aires;12,3;440198;2017-T4;10–30 Mbps
31;Buenos Aires;155;220;2017-T4;100–300 Mbps
32;Buenos Aires;20,5;175144;2017-T4;10–30 Mbps
33;Buenos Aires;25,1;153722;2017-T4;10–30 Mbps
34;Buenos Aires;50,1;124942;2017-T4;50–100 Mbps
35;Buenos Aires;100,1;24786;2017-T4;100–300 Mbps
36;CABA;1;701;2017-T4;0–10 Mbps
37;CABA;4;4051;2017-T4;0–10 Mbps
38;CABA;6;5774;2017-T4;0–10 Mbps
39;CABA;9;922;2017-T4;0–10 Mbps
40;CABA;10;5;2017-T4;10–30 Mbps
41;CABA;12;5;2017-T4;10–30 Mbps
42;CABA;1,2;30710;2017-T4;0–10 Mbps
43;CABA;16;1217;2017-T4;10–30 Mbps
44;CABA;17;3;2017-T4;10–30 Mbps
45;CABA;18;1;2017-T4;10–30 Mbps
46;CABA;19;40974;2017-T4;10–30 Mbps
47;CABA;2,2;788;2017-T4;0–10 Mbps
48;CABA;25;1;2017-T4;10–30 Mbps
49;CABA;31;62693;2017-T4;30–50 Mbps
50;CABA;3,2;1892;2017-T4;0–10 Mbps
51;CABA;36;7;2017-T4;30–50 Mbps
52;CABA;41;22;2017-T4;30–50 Mbps
53;CABA;4,5;1049;2017-T4;0–10 Mbps
54;CABA;0,51;314;2017-T4;0–10 Mbps
55;CABA;61;8;2017-T4;50–100 Mbps
56;CABA;6,4;503464;2017-T4;0–10 Mbps
57;CABA;66;1;2017-T4;50–100 Mbps
58;CABA;71;5;2017-T4;50–100 Mbps
59;CABA;7,5;19;2017-T4;0–10 Mbps
60;CABA;81;2;2017-T4;50–100 Mbps
61;CABA;10,1;283094;2017-T4;10–30 Mbps
62;CABA;120;2;2017-T4;100–300 Mbps
63;CABA;122;6;2017-T4;100–300 Mbps
64;CABA;12,3;290212;2017-T4;10–30 Mbps
65;CABA;131;2;2017-T4;100–300 Mbps
66;CABA;155;2589;2017-T4;100–300 Mbps
67;CABA;20,5;125708;2017-T4;10–30 Mbps
68;CABA;25,1;117018;2017-T4;10–30 Mbps
69;CABA;50,1;91194;2017-T4;50–100 Mbps
70;CABA;100,1;19785;2017-T4;100–300 Mbps
71;Catamarca;1;1;2017-T4;0–10 Mbps
72;Catamarca;4;198;2017-T4;0–10 Mbps
73;Catamarca;1,2;3181;2017-T4;0–10 Mbps
