ID_Moviles;ID_Periodo;Llamadas pospago salientes;Llamadas prepago salientes;Total de llamadas salientes;Ingresos;Accesos cada 100 hab2;Minutos pospago salientes;Minutos prepago salientes;Total de Minutos salientes;Total de accesos pospago;Total de accesos prepago;Total de accesos operativos
1;2025-T1;2509903;962525;3472428;15679728870;135,96;7217197;3053029;10270226;8634790;55726956;64361746
2;2024-T1;2893508;1068710;3962217;7694853860;133,93;9619808;3771708;13391517;8398514;54455565;62854079
3;2024-T2;2709620;1067028;3776648;11084725140;133,56;8837499;3595205;12432705;8397205;54421319;62818524
4;2024-T3;2700397;1072911;3773308;13223097970;134,49;8407215;3599378;12006593;8465960;54898234;63364194
5;2024-T4;2753762;1095453;3849216;14558191870;135,66;8152013;3484293;11636306;8566191;55515808;64081999
6;2023-T1;3251857;1023503;4275360;2575583660;129,63;10980979;3469826;14450805;7028083;53269840;60297923
7;2023-T2;3272337;1052369;4324706;3073370850;130,6;10577765;3493298;14071063;7310125;53572899;60883024
8;2023-T3;3098773;1095866;4194639;3801199730;130,95;10354887;3639908;13994795;7903181;53281127;61184308
9;2023-T4;3413226;1165616;4578842;5153357420;133,92;10147854;3673245;13821099;8301200;54407950;62709150
10;2022-T1;4073512;1265694;5339206;1304546760;128,37;12362900;3586127;15949027;6231309;52937601;59168910
11;2022-T2;4109736;1364889;5474625;1530323130;127,95;12436524;3776195;16212719;6245815;52865377;59111192
12;2022-T3;4123397;1320345;5443742;1803568620;127,98;12556822;3870172;16426994;6250732;53008139;59258871
13;2022-T4;3785218;1112907;4898125;2162332440;128,65;11890577;3721056;15611632;6546406;53157521;59703927
14;2021-T1;4312129;1273254;5585383;931121530;123,64;12992366;5469581;18461947;6041047;50411986;56453033
15;2021-T2;4343282;1084244;5427526;1047820200;124,28;13869978;5354043;19224021;6046091;50829471;56875562
16;2021-T3;4365100;1195389;5560488;1177519250;126,02;13152393;5440364;18592757;6104479;51708030;57812509
17;2021-T4;4580319;1355533;5935852;1273897860;128,62;12944094;5456088;18400182;6186994;52878833;59065827
18;2020-T1;4356731;2226861;6583591;720771470;122,95;13764635;6211879;19976514;5743132;49869048;55612810
19;2020-T2;3944061;2091330;6035390;735389440;120,1;14584356;5949100;20533456;5659667;49391056;55050723
20;2020-T3;4216177;2040647;6256823;796347550;120,41;14536705;5696019;20232724;5559724;49060162;54619886
21;2020-T4;4653523;1353625;6007148;834791140;120,71;14421377;5768783;20190160;5556299;49207602;54763900
22;2019-T1;4990885;2569628;7560513;502466910;130,23;13733817;6182149;20364355;6645995;51960447;58606442
23;2019-T2;5081581;2632188;7713769;553388160;129,91;13986048;6174603;20160651;5924037;51672054;57596091
24;2019-T3;4735772;2519093;7254864;609058910;125,02;13444769;6819314;20264083;5974898;50300828;56275726
25;2019-T4;4935402;2665719;7601121;653888420;123,97;11828877;6567190;18396067;5797378;50133536;55930914
26;2018-T1;4629943;2639039;7268982;387339460;136,59;13423580;5850985;19274565;7101698;53470098;60571796
27;2018-T2;4997593;2617568;7615161;406535020;133,76;14240217;6027374;20267591;6637444;52828949;59466393
28;2018-T3;5114169;2585551;7699720;432800890;132,02;14574305;6108477;20682782;6551391;52289745;58841136
29;2018-T4;5415217;2825480;8240697;440268030;131,39;14915060;6613685;21528745;6488017;52110024;58598041
30;2017-T1;5337927;2883162;8221089;312055650;143,59;14630269;6209983;20840252;7502772;55523350;63026122
31;2017-T2;5431369;2753032;8184400;335092640;142,93;15315167;6293563;21608730;7415230;55483528;62898758
32;2017-T3;5401689;2812805;8214493;357116890;140,71;15106275;6308373;21414647;7272585;54958224;62230809
33;2017-T4;5506428;2895913;8402341;381100280;139,94;14164552;5380710;19545262;7108228;54789151;61897379
34;2016-T1;4602640;4291789;8894429;247630520;141,55;11230991;6656647;17887638;7483126;54003635;61486761
35;2016-T2;4633918;4362030;8995948;253539710;142,64;11493027;6778732;18271759;7565115;54557406;62122521
36;2016-T3;5125311;3985485;9110796;274161770;145,6;11923391;7077838;19001229;7520789;56058550;63579339
37;2016-T4;5977412;3289295;9266707;301432330;146,26;15960765;6938892;22899656;7637635;56082170;63719805
38;2015-T1;4180427;3992229;8172656;193373420;140,12;10273637;6480172;16753809;7747230;52474633;60221863
39;2015-T2;4612087;4081505;8693592;199454530;138,94;11226576;6579819;17806395;7633527;52241939;59875466
40;2015-T3;4834496;4544938;9379434;217852380;140,56;11766711;7198826;18965537;7600799;53131712;60732511
41;2015-T4;5015851;4799840;9815691;248819670;142,75;11905073;7301039;19206111;7594526;54247485;61842011
42;2014-T1;4001399;3589181;7590580;159383530;148,07;10128751;5799223;15927974;8224482;54725089;62949571
43;2014-T2;4373148;3942142;8315290;176809720;143;10821463;6438071;17259534;7953775;53009865;60963640
44;2014-T3;4676132;4356668;9032801;189760530;143,4;11524344;7179152;18703495;8214424;53102043;61316467
45;2014-T4;4957353;4649196;9606550;200123320;142,6;11997330;7147630;19144961;8027505;53093330;61120835
