ID_Servicios;ID_Periodo;TV por Suscripción (VFR) C/100 hab2;TV Satelital C/100 hab3;TV por Suscripción (VFR) C/100 hog4;TV Satelital C/100 hog5;Ingresos TV por Suscripción (VFR)2;Ingresos TV Satelital3;TV por Suscripción (VFR) ACC;TV Satelital ACC;Accesos telefonía fija cada 100 hab2;Accesos telefonía fija cada 100 hogares3;Ingresos telefonia fija2;TF Hogares accesos Totales;TF Comercial accesos Totales;TF Gobierno accesos Totales;TF Otros accesos Totales;TF Total accesos Totales 
1;2025-T1;16,03;2,26;50,82;7,16;350120579,8;149937594,1;7587263;1068697;13,55;42,97;218787515;6415831;5750070;563439;28150;74172
2;2024-T4;16,15;2,26;51,26;7,18;331442809,6;143311787,9;7628773;1068833;13,59;43,15;348120760,4;5741731;574124;28041;77738;6421634
3;2024-T3;16,02;2,48;50,89;7,89;304976798,6;142478707,8;7551552;1170791;14,02;44,54;182869465,2;5901212;599293;27486;80908;6608899
4;2024-T2;15,85;2,91;50,4;9,24;267412475,3;124814891,6;7454428;1367489;14,29;45,44;201945871,7;6242915;669618;27789;93889;7034211
5;2024-T1;16,2;3,08;51,55;9,8;191632856,4;94270533,97;7601499;1445205;14,72;46,85;133124773,7;6161229;630018;27462;89347;6908056
6;2023-T4;16,34;3,22;52,05;10,26;133582200,8;64748818,98;7650809;1508789;15,44;49,7;62663319,9;6242915;669618;27789;93889;7034211
7;2023-T3;16,57;3,6;52,84;11,49;103738032,8;51179479,92;7743735;1683205;15,69;50,55;58985969,28;6323673;685453;27460;96169;7132755
8;2023-T2;17,32;3,72;55,29;11,88;87015368,63;38625145,74;8076400;1735655;15,81;50,97;64560388,19;6345802;694975;27297;100202;7168276
9;2023-T1;16,71;3,8;53,36;12,13;74739351,28;33430741,33;7770412;1766221;15,5;50,02;60878900,19;6182939;695300;27143;107378;7012760
10;2022-T4;16,55;3,96;52,9;12,66;62432903,15;29721126,94;7680025;1837878;15,46;49,74;32356913,92;6307995;594245;27073;111559;7040872
11;2022-T3;16,56;4,46;52,97;14,27;52399891,49;27073190,89;7665931;2064699;15,46;49,79;29698512,57;6292004;597354;26497;108792;7024647
12;2022-T2;16,55;4,47;53,01;14,31;46322065,49;23559484,83;7647584;2064637;15,57;50,18;31258182,51;6307810;610291;26749;112884;7057734
13;2022-T1;16,41;4,45;52,61;14,25;42113438,81;21268086,24;7564827;2049628;15,97;51,52;30583344;6452832;627770;26807;115796;7223205
