ID_Penetracion;ID_Periodo;ID_Provincias;Accesos_telefonía_fija_cada_100_hab;Accesos_telefonía_fija_cada_100_hogares;Hogares;Comercial;Gobierno;Otros;Total
1;2025-T1;Buenos Aires;15,65;50,22;2840504;2545750;249453;12463;32838
2;2025-T1;CABA;50,68;121,97;1563390;1401159;137297;6860;18074
3;2025-T1;Catamarca;3,88;15,89;16597;14874;1458;73;192
4;2025-T1;Chaco;3,51;13,75;43696;39162;3837;192;505
5;2025-T1;Chubut;8,16;28,83;53495;47944;4698;235;618
6;2025-T1;Córdoba;11,47;39,36;447030;400643;39258;1961;5168
7;2025-T1;Corrientes;5,9;23,36;68152;61080;5985;299;788
8;2025-T1;Entre Ríos;8,81;30,8;126083;112999;11073;553;1458
9;2025-T1;Formosa;5,58;22,78;34701;31101;3047;152;401
10;2025-T1;Jujuy;2,55;10,5;20395;18279;1791;89;236
11;2025-T1;La Pampa;16,35;51,69;60358;54094;5301;265;698
12;2025-T1;La Rioja;5,11;20,45;21051;18867;1849;92;243
13;2025-T1;Mendoza;8,63;32,47;177854;159399;15619;780;2056
14;2025-T1;Misiones;4,14;16,02;54218;48592;4761;238;627
15;2025-T1;Neuquén;8,99;32,14;62437;55958;5483;274;722
16;2025-T1;Río Negro;8,71;30,12;68071;61007;5978;299;787
17;2025-T1;Salta;4,22;18,52;62817;56298;5517;276;726
18;2025-T1;San Juan;6,88;28,44;55792;50002;4900;245;645
19;2025-T1;San Luis;5,18;19,25;27537;24680;2418;121;318
20;2025-T1;Santa Cruz;5,03;19,06;20059;17977;1762;88;232
21;2025-T1;Santa Fe;10,93;36,07;396972;355779;34862;1742;4589
22;2025-T1;Santiago del Estero;5,1;21,62;51773;46400;4547;227;599
23;2025-T1;Tierra del Fuego;8,24;31,34;15590;13973;1369;68;180
24;2025-T1;Tucumán;7,2;30,8;127261;114056;11176;558;1471
25;2024-T1;Buenos Aires;16,1;51,65;2605367;266413;11613;37782;2921175
26;2024-T1;CABA;46,05;110,83;1266922;129549;5647;18372;1420490
27;2024-T1;Catamarca;6,29;25,79;24025;2457;107;348;26937
28;2024-T1;Chaco;6,16;24,17;68481;7003;305;993;76782
29;2024-T1;Chubut;8,78;31,02;51338;5250;229;744;57561
30;2024-T1;Córdoba;14,15;48,55;491827;50292;2192;7132;551443
31;2024-T1;Corrientes;6,92;27,38;71232;7284;318;1033;79867
32;2024-T1;Entre Ríos;11,92;41,68;152174;15561;678;2207;170620
33;2024-T1;Formosa;4,96;20,27;27539;2816;123;399;30877
34;2024-T1;Jujuy;5,43;22,4;38812;3969;173;563;43517
35;2024-T1;La Pampa;17,97;56,8;59154;6049;264;858;66325
36;2024-T1;La Rioja;5,96;23,86;21900;2239;98;318;24555
37;2024-T1;Mendoza;8,35;31,42;153535;15700;684;2226;172145
38;2024-T1;Misiones;6,41;24,83;74942;7663;334;1087;84026
39;2024-T1;Neuquén;8,84;31,6;54748;5598;244;794;61384
40;2024-T1;Río Negro;8,89;30,76;62013;6341;276;899;69529
41;2024-T1;Salta;6,55;28,72;86893;8885;387;1260;97425
42;2024-T1;San Juan;7,38;30,5;53368;5457;238;774;59837
43;2024-T1;San Luis;5,46;20,27;25861;2644;115;375;28995
44;2024-T1;Santa Cruz;5,44;20,61;19346;1978;86;281;21691
45;2024-T1;Santa Fe;16,46;54,34;533414;54544;2378;7735;598071
46;2024-T1;Santiago del Estero;6,18;26,16;55886;5715;249;810;62660
47;2024-T1;Tierra del Fuego;8,88;33,78;14988;1533;67;217;16805
48;2024-T1;Tucumán;9,36;40,02;147467;15079;657;2138;165341
49;2024-T2;Buenos Aires;11,39;36,44;2793773;299661;12436;42016;3147886
50;2024-T2;CABA;27,59;66,46;1466033;157247;6526;22048;1651854
51;2024-T2;Catamarca;6,12;25,09;18074;1939;80;272;20365
52;2024-T2;Chaco;6,01;23,55;47897;5137;213;720;53967
53;2024-T2;Chubut;8,71;30,78;48049;5154;214;723;54140
