Registro_ID,Año,Trimestre,Total de accesos pospago,Total de accesos prepago,Total de accesos operativos,TiempoTrim_ID,porc_pospago,porc_prepago,Periodo
49,2013,1,7761349,57147608,64908957,20131,11.957285032326125,88.04271496767387,2013Q1
48,2013,2,7769110,58004822,65773932,20132,11.81183755290774,88.18816244709227,2013Q2
47,2013,3,8002183,59048909,67051092,20133,11.93445589223215,88.06554410776785,2013Q3
46,2013,4,8674516,58894516,67569032,20134,12.83800543420542,87.16199456579457,2013Q4
45,2014,1,8224482,54725089,62949571,20141,13.06519150066964,86.93480849933036,2014Q1
44,2014,2,7953775,53009865,60963640,20142,13.046752129630054,86.95324787036995,2014Q2
43,2014,3,8214424,53102043,61316467,20143,13.396766646714983,86.60323335328502,2014Q3
42,2014,4,8027505,53093330,61120835,20144,13.13382744198439,86.8661725580156,2014Q4
41,2015,1,7747230,52474633,60221863,20151,12.864480794956476,87.13551920504352,2015Q1
40,2015,2,7633527,52241939,59875466,20152,12.74900641274341,87.25099358725659,2015Q2
39,2015,3,7600799,53131712,60732511,20153,12.515206229493788,87.48479377050622,2015Q3
38,2015,4,7594526,54247485,61842011,20154,12.28052884632099,87.71947115367901,2015Q4
37,2016,1,7483126,54003635,61486761,20161,12.170304433502361,87.82969556649765,2016Q1
36,2016,2,7565115,54557406,62122521,20162,12.177733418127058,87.82226658187294,2016Q2
35,2016,3,7520789,56058550,63579339,20163,11.828982682566108,88.1710173174339,2016Q3
34,2016,4,7637635,56082170,63719805,20164,11.986281188399744,88.01371881160026,2016Q4
33,2017,1,7502772,55523350,63026122,20171,11.904225996960434,88.09577400303957,2017Q1
32,2017,2,7415230,55483528,62898758,20172,11.78915170312266,88.21084829687734,2017Q2
31,2017,3,7272585,54958224,62230809,20173,11.68647028194668,88.31352971805332,2017Q3
30,2017,4,7108228,54789151,61897379,20174,11.483891749277461,88.51610825072254,2017Q4
29,2018,1,7101698,53470098,60571796,20181,11.724430294257743,88.27556970574226,2018Q1
28,2018,2,6637444,52828949,59466393,20182,11.161672442449973,88.83832755755002,2018Q2
27,2018,3,6551391,52289745,58841136,20183,11.134032150568949,88.86596784943104,2018Q3
26,2018,4,6488017,52110024,58598041,20184,11.072071504916009,88.92792849508399,2018Q4
25,2019,1,6645995,51960447,58606442,20191,11.34004176537453,88.65995823462546,2019Q1
24,2019,2,5924037,51672054,57596091,20192,10.285484478451846,89.71451552154815,2019Q2
23,2019,3,5974898,50300828,56275726,20193,10.61718510748311,89.38281489251689,2019Q3
22,2019,4,5797378,50133536,55930914,20194,10.365248098752685,89.63475190124731,2019Q4
21,2020,1,5743132,49869048,55612810,20201,10.326994805693149,89.6718723617814,2020Q1
20,2020,2,5659667,49391056,55050723,20202,10.280822288201374,89.71917771179862,2020Q2
19,2020,3,5559724,49060162,54619886,20203,10.178937392875556,89.82106260712445,2020Q3
18,2020,4,5556299,49207602,54763900,20204,10.145915466210404,89.85408635981003,2020Q4
17,2021,1,6041047,50411986,56453033,20211,10.701014062433103,89.2989859375669,2021Q1
16,2021,2,6046091,50829471,56875562,20212,10.630384628111456,89.36961537188854,2021Q2
15,2021,3,6104479,51708030,57812509,20213,10.559097167016224,89.44090283298377,2021Q3
14,2021,4,6186994,52878833,59065827,20214,10.474743712637766,89.52525628736223,2021Q4
13,2022,1,6231309,52937601,59168910,20221,10.531390556290457,89.46860944370954,2022Q1
12,2022,2,6245815,52865377,59111192,20222,10.566213924429066,89.43378607557094,2022Q2
11,2022,3,6250732,53008139,59258871,20223,10.548179360352647,89.45182063964735,2022Q3
10,2022,4,6546406,53157521,59703927,20224,10.96478293630501,89.035217063695,2022Q4
9,2023,1,7028083,53269840,60297923,20231,11.655597158794343,88.34440284120566,2023Q1
8,2023,2,7310125,53572899,60883024,20232,12.006836257016404,87.9931637429836,2023Q2
7,2023,3,7903181,53281127,61184308,20233,12.917006432433622,87.08299356756638,2023Q3
6,2023,4,8301200,54407950,62709150,20234,13.23762162300079,86.76237837699921,2023Q4
5,2024,1,8398514,54455565,62854079,20241,13.36192357539755,86.63807642460245,2024Q1
4,2024,2,8397205,54421319,62818524,20242,13.367402583352641,86.63259741664736,2024Q2
3,2024,3,8465960,54898234,63364194,20243,13.360794899403281,86.63920510059671,2024Q3
2,2024,4,8566191,55515808,64081999,20244,13.367546477443689,86.6324535225563,2024Q4
1,2025,1,8634790,55726956,64361746,20251,13.416028210297466,86.58397178970255,2025Q1
