"Año","Trimestre","Minutos pospago salientes","Minutos prepago salientes","Total de Minutos salientes"
"2025","1","7.217.197","3.053.029","10.270.226"
"2024","4","8.152.013","3.484.293","11.636.306"
"2024","3","8.407.215","3.599.378","12.006.593"
"2024","2","8.837.499","3.595.205","12.432.705"
"2024","1","9.619.808","3.771.708","13.391.517"
"2023","4","10.147.854","3.673.245","13.821.099"
"2023","3","10.354.887","3.639.908","13.994.795"
"2023","2","10.577.765","3.493.298","14.071.063"
"2023","1","10.980.979","3.469.826","14.450.805"
"2022","4","11.890.577","3.721.056","15.611.632"
"2022","3","12.556.822","3.870.172","16.426.994"
"2022","2","12.436.524","3.776.195","16.212.719"
"2022","1","12.362.900","3.586.127","15.949.027"
"2021","4","12.944.094","5.456.088","18.400.182"
"2021","3","13.152.393","5.440.364","18.592.757"
"2021","2","13.869.978","5.354.043","19.224.021"
"2021","1","12.992.366","5.469.581","18.461.947"
"2020","4","14.421.377","5.768.783","20.190.160"
"2020","3","14.536.705","5.696.019","20.232.724"
"2020","2","14.584.356","5.949.100","20.533.456"
"2020","1","13.764.635","6.211.879","19.976.514"
"2019","4","11.828.877","6.567.190","18.396.067"
"2019","3","13.444.769","6.819.314","20.264.083"
"2019","2","13.986.048","6.174.603","20.160.651"
"2019","1","13.733.817","6.182.149","20.364.355"
"2018","4","14.915.060","6.613.685","21.528.745"
"2018","3","14.574.305","6.108.477","20.682.782"
"2018","2","14.240.217","6.027.374","20.267.591"
"2018","1","13.423.580","5.850.985","19.274.565"
"2017","4","14.164.552","5.380.710","19.545.262"
"2017","3","15.106.275","6.308.373","21.414.647"
"2017","2","15.315.167","6.293.563","21.608.730"
"2017","1","14.630.269","6.209.983","20.840.252"
"2016","4","15.960.765","6.938.892","22.899.656"
"2016","3","11.923.391","7.077.838","19.001.229"
"2016","2","11.493.027","6.778.732","18.271.759"
"2016","1","11.230.991","6.656.647","17.887.638"
"2015","4","11.905.073","7.301.039","19.206.111"
"2015","3","11.766.711","7.198.826","18.965.537"
"2015","2","11.226.576","6.579.819","17.806.395"
"2015","1","10.273.637","6.480.172","16.753.809"
"2014","4","11.997.330","7.147.630","19.144.961"
"2014","3","11.524.344","7.179.152","18.703.495"
"2014","2","10.821.463","6.438.071","17.259.534"
"2014","1","10.128.751","5.799.223","15.927.974"
"2013","4","9.809.515","6.250.549","16.060.064"
"2013","3","10.315.484","7.335.154","17.650.638"
"2013","2","9.512.689","7.108.640","16.621.329"
"2013","1","8.785.943","6.582.117","15.368.060"

