Registro_ID,Año,Trimestre,Accesos cada 100 hab,TiempoTrim_ID,Periodo,Pen_QoQ_%,Pen_YoY_%,Pen_MovAvg4
49,2013,1,154.37,20131,2013Q1,,,
48,2013,2,156.0,20132,2013Q2,1.0559046446848352,,
47,2013,3,158.59,20133,2013Q3,1.6602564102564221,,
46,2013,4,159.44,20134,2013Q4,0.5359732643924531,,157.1
45,2014,1,148.07,20141,2014Q1,-7.131209232313096,-4.081103841419975,155.525
44,2014,2,143.0,20142,2014Q2,-3.4240561896400346,-8.333333333333337,152.275
43,2014,3,143.4,20143,2014Q3,0.2797202797202747,-9.57815751308405,148.4775
42,2014,4,142.6,20144,2014Q4,-0.5578800557880181,-10.561966884094332,144.2675
41,2015,1,140.12,20151,2015Q1,-1.7391304347825987,-5.369082190855668,142.28
40,2015,2,138.94,20152,2015Q2,-0.8421353125892095,-2.839160839160837,141.265
39,2015,3,140.56,20153,2015Q3,1.1659709227004544,-1.9804741980474216,140.555
38,2015,4,142.75,20154,2015Q4,1.558053500284573,0.10518934081347187,140.5925
37,2016,1,141.55,20161,2016Q1,-0.840630472854631,1.0205538110191315,140.95
36,2016,2,142.64,20162,2016Q2,0.7700459201695375,2.663020008636807,141.875
35,2016,3,145.6,20163,2016Q3,2.0751542344363383,3.585657370517925,143.135
34,2016,4,146.26,20164,2016Q4,0.4532967032967017,2.4588441330998245,144.0125
33,2017,1,143.59,20171,2017Q1,-1.8255162040202277,1.4411868597668631,144.5225
32,2017,2,142.93,20172,2017Q2,-0.45964203635350254,0.20330902972520715,144.595
31,2017,3,140.71,20173,2017Q3,-1.5532078639893698,-3.3585164835164716,143.3725
30,2017,4,139.94,20174,2017Q4,-0.5472247885722425,-4.32107206344865,141.79250000000002
29,2018,1,136.59,20181,2018Q1,-2.3938830927540344,-4.874991294658404,140.0425
28,2018,2,133.76,20182,2018Q2,-2.071893989311091,-6.415727978730857,137.75
27,2018,3,132.02,20183,2018Q3,-1.3008373205741441,-6.175822613886717,135.5775
26,2018,4,131.39,20184,2018Q4,-0.4772004241781702,-6.109761326282703,133.44
25,2019,1,130.23,20191,2019Q1,-0.882867798158149,-4.656270590819245,131.85
24,2019,2,129.91,20192,2019Q2,-0.245719112339704,-2.8782894736842035,130.8875
23,2019,3,125.02,20193,2019Q3,-3.7641444076668473,-5.302226935312837,129.1375
22,2019,4,123.97,20194,2019Q4,-0.8398656215005573,-5.647309536494394,127.2825
21,2020,1,122.95,20201,2020Q1,-0.8227797047672847,-5.590109805728316,125.46249999999999
20,2020,2,120.1,20202,2020Q2,-2.3180154534363617,-7.55138172581018,123.00999999999999
19,2020,3,120.41,20203,2020Q3,0.2581182348043276,-3.6874100143976962,121.8575
18,2020,4,120.71,20204,2020Q4,0.2491487417988436,-2.6296684681777927,121.04249999999999
17,2021,1,123.64,20211,2021Q1,2.427305111424083,0.5612037413582849,121.215
16,2021,2,124.28,20212,2021Q2,0.5176318343578235,3.4804329725228955,122.25999999999999
15,2021,3,126.02,20213,2021Q3,1.4000643707756666,4.65908147163856,123.6625
14,2021,4,128.62,20214,2021Q4,2.0631645770512685,6.552895369066358,125.64
13,2022,1,128.37,20221,2022Q1,-0.19437101539417911,3.825622775800719,126.82249999999999
12,2022,2,127.95,20222,2022Q2,-0.32717924748773,2.9530093337624796,127.74
11,2022,3,127.98,20223,2022Q3,0.023446658851122848,1.5553086811617378,128.23000000000002
10,2022,4,128.65,20224,2022Q4,0.5235192998906069,0.02332452184730105,128.2375
9,2023,1,129.63,20231,2023Q1,0.7617567042362827,0.9815377424631899,128.5525
8,2023,2,130.6,20232,2023Q2,0.7482835763326312,2.0711215318483633,129.215
7,2023,3,130.95,20233,2023Q3,0.2679938744257315,2.320675105485215,129.95749999999998
6,2023,4,133.92,20234,2023Q4,2.268041237113394,4.096385542168668,131.275
5,2024,1,133.93,20241,2024Q1,0.007467144563944039,3.3171333796189195,132.35
4,2024,2,133.56,20242,2024Q2,-0.2762637198536533,2.2664624808575784,133.09
3,2024,3,134.49,20243,2024Q3,0.696316262354002,2.703321878579623,133.975
2,2024,4,135.66,20244,2024Q4,0.8699531563684859,1.2992831541218663,134.41000000000003
1,2025,1,135.96,20251,2025Q1,0.2211410880141651,1.5157171656835722,134.9175
