"Año","MesId","Mes","Total General"
"2025","3","Marzo","154.647"
"2025","2","Febrero","168.572"
"2025","1","Enero","191.649"
"2024","12","Diciembre","278.641"
"2024","11","Noviembre","223.065"
"2024","10","Octubre","258.940"
"2024","9","Septiembre","248.324"
"2024","8","Agosto","263.722"
"2024","7","Julio","266.723"
"2024","6","Junio","178.024"
"2024","5","Mayo","178.256"
"2024","4","Abril","155.812"
"2024","3","Marzo","149.604"
"2024","2","Febrero","145.787"
"2024","1","Enero","160.634"
"2023","12","Diciembre","131.142"
"2023","11","Noviembre","139.067"
"2023","10","Octubre","140.945"
"2023","9","Septiembre","157.032"
"2023","8","Agosto","163.571"
"2023","7","Julio","156.958"
"2023","6","Junio","172.718"
"2023","5","Mayo","190.134"
"2023","4","Abril","195.254"
"2023","3","Marzo","253.637"
"2023","2","Febrero","208.181"
"2023","1","Enero","265.548"
"2022","12","Diciembre","269.979"
"2022","11","Noviembre","299.611"
"2022","10","Octubre","298.154"
"2022","9","Septiembre","310.435"
"2022","8","Agosto","317.256"
"2022","7","Julio","298.071"
"2022","6","Junio","313.772"
"2022","5","Mayo","318.805"
"2022","4","Abril","317.497"
"2022","3","Marzo","340.566"
"2022","2","Febrero","265.379"
"2022","1","Enero","258.813"
"2021","12","Diciembre","294.356"
"2021","11","Noviembre","312.348"
"2021","10","Octubre","264.039"
"2021","9","Septiembre","282.261"
"2021","8","Agosto","252.698"
"2021","7","Julio","236.738"
"2021","6","Junio","206.029"
"2021","5","Mayo","189.244"
"2021","4","Abril","232.382"
"2021","3","Marzo","227.134"
"2021","2","Febrero","176.728"
"2021","1","Enero","170.234"
"2020","12","Diciembre","201.390"
"2020","11","Noviembre","235.563"
"2020","10","Octubre","241.917"
"2020","9","Septiembre","296.507"
"2020","8","Agosto","295.865"
"2020","7","Julio","253.559"
"2020","6","Junio","249.606"
"2020","5","Mayo","185.916"
"2020","4","Abril","131.172"
"2020","3","Marzo","259.945"
"2020","2","Febrero","310.721"
"2020","1","Enero","319.361"
"2019","12","Diciembre","315.457"
"2019","11","Noviembre","309.564"
"2019","10","Octubre","331.010"
"2019","9","Septiembre","314.891"
"2019","8","Agosto","317.520"
"2019","7","Julio","317.210"
"2019","6","Junio","277.982"
"2019","5","Mayo","323.284"
"2019","4","Abril","265.510"
"2019","3","Marzo","215.122"
"2019","2","Febrero","209.804"
"2019","1","Enero","199.162"
"2018","12","Diciembre","166.967"
"2018","11","Noviembre","171.576"
"2018","10","Octubre","168.454"
"2018","9","Septiembre","150.804"
"2018","8","Agosto","145.810"
"2018","7","Julio","126.630"
"2018","6","Junio","120.758"
"2018","5","Mayo","130.154"
"2018","4","Abril","113.636"
"2018","3","Marzo","114.126"
"2018","2","Febrero","90.816"
"2018","1","Enero","106.092"
"2017","12","Diciembre","102.618"
"2017","11","Noviembre","113.740"
"2017","10","Octubre","110.786"
"2017","9","Septiembre","104.109"
"2017","8","Agosto","114.627"
"2017","7","Julio","110.699"
"2017","6","Junio","104.675"
"2017","5","Mayo","110.304"
"2017","4","Abril","100.241"
"2017","3","Marzo","125.312"
"2017","2","Febrero","97.738"
"2017","1","Enero","117.961"
"2016","12","Diciembre","139.777"
"2016","11","Noviembre","173.043"
"2016","10","Octubre","178.771"
"2016","9","Septiembre","177.072"
"2016","8","Agosto","180.968"
"2016","7","Julio","154.234"
"2016","6","Junio","154.196"
"2016","5","Mayo","148.327"
"2016","4","Abril","143.274"
"2016","3","Marzo","128.411"
"2016","2","Febrero","107.273"
"2016","1","Enero","102.891"
"2015","12","Diciembre","117.140"
"2015","11","Noviembre","117.154"
"2015","10","Octubre","128.001"
"2015","9","Septiembre","124.779"
"2015","8","Agosto","106.316"
"2015","7","Julio","122.893"
"2015","6","Junio","127.486"
"2015","5","Mayo","100.936"
"2015","4","Abril","103.422"
"2015","3","Marzo","84.411"
"2015","2","Febrero","73.881"
"2015","1","Enero","84.687"
"2014","12","Diciembre","90.113"
"2014","11","Noviembre","74.132"
"2014","10","Octubre","97.254"
"2014","9","Septiembre","88.994"
"2014","8","Agosto","80.264"
"2014","7","Julio","85.713"
"2014","6","Junio","74.669"
"2014","5","Mayo","58.527"
"2014","4","Abril","48.043"
"2014","3","Marzo","41.372"
"2014","2","Febrero","33.185"
"2014","1","Enero","30.223"
"2013","12","Diciembre","33.293"
"2013","11","Noviembre","33.236"
"2013","10","Octubre","34.563"
"2013","9","Septiembre","33.683"
"2013","8","Agosto","28.542"
"2013","7","Julio","27.105"
"2013","6","Junio","22.065"
"2013","5","Mayo","28.883"
"2013","4","Abril","27.522"
"2013","3","Marzo","24.265"
"2013","2","Febrero","20.329"
"2013","1","Enero","27.555"
"2012","12","Diciembre","26.797"
"2012","11","Noviembre","30.439"
"2012","10","Octubre","35.617"
"2012","9","Septiembre","33.392"
"2012","8","Agosto","33.518"
"2012","7","Julio","33.805"
"2012","6","Junio","30.824"
"2012","5","Mayo","34.635"
"2012","4","Abril","8.034"
"2012","3","Marzo","153"

