Registro_ID,Año,Trimestre,TV por Suscripción (VFR) C/100 hab,TV Satelital C/100 hab,TV por Suscripción (VFR) C/100 hog,TV Satelital C/100 hog,TiempoTrim_ID
1,2025,1,16.03,2.26,50.82,7.16,20251
2,2024,4,16.15,2.26,51.26,7.18,20244
3,2024,3,16.02,2.48,50.89,7.89,20243
4,2024,2,15.85,2.91,50.4,9.24,20242
5,2024,1,16.2,3.08,51.55,9.8,20241
6,2023,4,16.34,3.22,52.05,10.26,20234
7,2023,3,16.57,3.6,52.84,11.49,20233
8,2023,2,17.32,3.72,55.29,11.88,20232
9,2023,1,16.71,3.8,53.36,12.13,20231
10,2022,4,16.55,3.96,52.9,12.66,20224
11,2022,3,16.56,4.46,52.97,14.27,20223
12,2022,2,16.55,4.47,53.01,14.31,20222
13,2022,1,16.41,4.45,52.61,14.25,20221
14,2021,4,16.52,4.37,52.99,14.02,20214
15,2021,3,16.73,4.68,53.72,15.03,20213
16,2021,2,16.02,5.08,51.48,16.33,20212
17,2021,1,16.09,4.95,51.74,15.93,20211
18,2020,4,16.1,5.09,51.8,16.39,20204
19,2020,3,16.13,5.4,51.95,17.38,20203
20,2020,2,15.93,5.41,51.36,17.45,20202
21,2020,1,15.97,5.43,51.51,17.52,20201
22,2019,4,16.17,5.45,52.21,17.6,20194
23,2019,3,15.9,5.47,51.37,17.67,20193
24,2019,2,15.7,5.48,50.76,17.72,20192
25,2019,1,15.58,5.52,50.42,17.87,20191
26,2018,4,15.47,5.54,50.1,17.94,20184
27,2018,3,15.8,5.69,51.21,18.44,20183
28,2018,2,15.59,5.63,50.56,18.26,20182
29,2018,1,15.63,5.56,50.73,18.05,20181
30,2017,4,15.43,5.79,50.12,18.81,20174
31,2017,3,15.36,5.89,49.84,19.1,20173
32,2017,2,15.38,5.85,50.0,19.04,20172
33,2017,1,14.99,5.75,49.01,18.77,20171
34,2016,4,15.03,6.11,50.45,20.49,20164
35,2016,3,15.0,6.03,50.34,20.24,20163
36,2016,2,14.99,6.06,50.3,20.34,20162
37,2016,1,14.92,5.83,50.08,19.55,20161
38,2015,4,15.08,5.88,50.61,19.74,20154
39,2015,3,15.05,5.99,50.48,20.11,20153
40,2015,2,14.98,5.99,50.25,20.09,20152
41,2015,1,14.86,5.79,49.86,19.41,20151
42,2014,4,15.18,5.78,50.92,19.18,20144
43,2014,3,15.12,5.74,50.7,19.06,20143
44,2014,2,15.09,5.97,50.61,19.81,20142
45,2014,1,12.74,5.57,42.72,18.48,20141
