"Año","Trimestre","Provincias","Hogares","Comercial","Gobierno","Otros","Total"
"2025","1","Buenos Aires","2.840.504","2.545.750","249.453","12.463","32.838"
"2025","1","Capital Federal","1.563.390","1.401.159","137.297","6.860","18.074"
"2025","1","Catamarca","16.597","14.874","1.458","73","192"
"2025","1","Chaco","43.696","39.162","3.837","192","505"
"2025","1","Chubut","53.495","47.944","4.698","235","618"
"2025","1","Córdoba","447.030","400.643","39.258","1.961","5.168"
"2025","1","Corrientes","68.152","61.080","5.985","299","788"
"2025","1","Entre Ríos","126.083","112.999","11.073","553","1.458"
"2025","1","Formosa","34.701","31.101","3.047","152","401"
"2025","1","Jujuy","20.395","18.279","1.791","89","236"
"2025","1","La Pampa","60.358","54.094","5.301","265","698"
"2025","1","La Rioja","21.051","18.867","1.849","92","243"
"2025","1","Mendoza","177.854","159.399","15.619","780","2.056"
"2025","1","Misiones","54.218","48.592","4.761","238","627"
"2025","1","Neuquén","62.437","55.958","5.483","274","722"
"2025","1","Río Negro","68.071","61.007","5.978","299","787"
"2025","1","Salta","62.817","56.298","5.517","276","726"
"2025","1","San Juan","55.792","50.002","4.900","245","645"
"2025","1","San Luis","27.537","24.680","2.418","121","318"
"2025","1","Santa Cruz","20.059","17.977","1.762","88","232"
"2025","1","Santa Fe","396.972","355.779","34.862","1.742","4.589"
"2025","1","Santiago del Estero","51.773","46.400","4.547","227","599"
"2025","1","Tierra del Fuego","15.590","13.973","1.369","68","180"
"2025","1","Tucumán","127.261","114.056","11.176","558","1.471"
"2024","4","Buenos Aires","2.569.839","256.962","12.550","34.793","2.874.144"
"2024","4","CABA","1.372.151","137.203","6.701","18.578","1.534.633"
"2024","4","Catamarca","14.925","1.492","73","202","16.692"
"2024","4","Chaco","38.900","3.890","190","527","43.507"
"2024","4","Chubut","44.993","4.499","220","609","50.321"
"2024","4","Córdoba","396.682","39.665","1.937","5.371","443.655"
"2024","4","Corrientes","61.323","6.132","299","830","68.584"
"2024","4","Entre Ríos","115.657","11.565","565","1.566","129.353"
"2024","4","Formosa","30.745","3.074","150","416","34.385"
"2024","4","Jujuy","18.887","1.889","92","256","21.124"
"2024","4","La Pampa","54.881","5.488","268","743","61.380"
"2024","4","La Rioja","18.325","1.832","89","248","20.494"
"2024","4","Mendoza","163.613","16.360","799","2.215","182.987"
"2024","4","Misiones","49.866","4.986","244","675","55.771"
"2024","4","Neuquén","55.787","5.578","272","755","62.392"
"2024","4","Río Negro","60.960","6.095","298","825","68.178"
"2024","4","Salta","58.026","5.802","283","786","64.897"
"2024","4","San Juan","44.623","4.462","218","604","49.907"
"2024","4","San Luis","23.731","2.373","116","321","26.541"
"2024","4","Santa Cruz","18.442","1.844","90","250","20.626"
"2024","4","Santa Fe","355.300","35.527","1.735","4.810","397.372"
"2024","4","Santiago del Estero","46.391","4.639","227","628","51.885"
"2024","4","Tierra del Fuego","12.235","1.224","60","166","13.685"
"2024","4","Tucumán","115.452","11.544","564","1.563","129.123"
"2024","3","Buenos Aires","2.490.358","252.907","11.599","34.144","2.789.008"
"2024","3","CABA","1.190.042","120.854","5.543","16.316","1.332.755"
"2024","3","Catamarca","23.001","2.336","107","315","25.759"
"2024","3","Chaco","65.803","6.682","306","902","73.693"
"2024","3","Chubut","51.211","5.201","239","702","57.353"
"2024","3","Córdoba","475.068","48.245","2.213","6.513","532.039"
"2024","3","Corrientes","68.345","6.941","318","937","76.541"
"2024","3","Entre Ríos","146.128","14.840","681","2.003","163.652"
"2024","3","Formosa","26.298","2.671","122","361","29.452"
"2024","3","Jujuy","37.162","3.774","173","510","41.619"
"2024","3","La Pampa","56.791","5.768","265","779","63.603"
"2024","3","La Rioja","20.969","2.129","98","287","23.483"
"2024","3","Mendoza","153.695","15.608","716","2.107","172.126"
"2024","3","Misiones","72.080","7.320","336","988","80.724"
"2024","3","Neuquén","54.230","5.507","253","744","60.734"
"2024","3","Río Negro","61.823","6.278","288","848","69.237"
"2024","3","Salta","83.194","8.449","387","1.141","93.171"
"2024","3","San Juan","53.429","5.426","249","733","59.837"
"2024","3","San Luis","25.890","2.629","121","355","28.995"
"2024","3","Santa Cruz","19.368","1.967","90","266","21.691"
"2024","3","Santa Fe","515.754","52.377","2.402","7.071","577.604"
"2024","3","Santiago del Estero","54.369","5.521","253","745","60.888"
"2024","3","Tierra del Fuego","15.005","1.524","70","206","16.805"
"2024","3","Tucumán","141.197","14.339","658","1.936","158.130"
"2024","2","Buenos Aires","2.793.773","299.661","12.436","42.016","3.147.886"
"2024","2","CABA","1.466.033","157.247","6.526","22.048","1.651.854"
"2024","2","Catamarca","18.074","1.939","80","272","20.365"
"2024","2","Chaco","47.897","5.137","213","720","53.967"
"2024","2","Chubut","48.049","5.154","214","723","54.140"
