Registro_ID,Año,Trimestre,Ingresos,TiempoTrim_ID
1,2025,1,218787514.99,20251
2,2024,4,348120760.42,20244
3,2024,3,182869465.22,20243
4,2024,2,201945871.73,20242
5,2024,1,133124773.73,20241
6,2023,4,62663319.9,20234
7,2023,3,58985969.28,20233
8,2023,2,64560388.19,20232
9,2023,1,60878900.19,20231
10,2022,4,32356913.92,20224
11,2022,3,29698512.57,20223
12,2022,2,31258182.51,20222
13,2022,1,30583344.0,20221
14,2021,4,40616059.17,20214
15,2021,3,20789995.21,20213
16,2021,2,22178751.89,20212
17,2021,1,21378667.69,20211
18,2020,4,19750303.98,20204
19,2020,3,18162023.89,20203
20,2020,2,21035522.89,20202
21,2020,1,17067597.82,20201
22,2019,4,20321577.16,20194
23,2019,3,13404569.15,20193
24,2019,2,14181055.21,20192
25,2019,1,12238568.39,20191
26,2018,4,8997157.88,20184
27,2018,3,10111350.57,20183
28,2018,2,7911723.07,20182
29,2018,1,8252279.99,20181
30,2017,4,5514336.19,20174
31,2017,3,6667943.53,20173
32,2017,2,6970617.23,20172
33,2017,1,6375681.76,20171
34,2016,4,4964596.39,20164
35,2016,3,4951967.66,20163
36,2016,2,4718769.82,20162
37,2016,1,4198260.39,20161
38,2015,4,3815364.12,20154
39,2015,3,3590883.18,20153
40,2015,2,3425518.48,20152
41,2015,1,3260124.75,20151
42,2014,4,3339690.9,20144
43,2014,3,3105462.02,20143
44,2014,2,2974865.2,20142
45,2014,1,2916071.75,20141
