Registro_ID,Año,Trimestre,Accesos telefonía fija cada 100 hab,Accesos telefonía fija cada 100 hogares,TiempoTrim_ID
1,2025,1,13.55,42.97,20251
2,2024,4,13.59,43.15,20244
3,2024,3,14.02,44.54,20243
4,2024,2,14.29,45.44,20242
5,2024,1,14.72,46.85,20241
6,2023,4,15.44,49.7,20234
7,2023,3,15.69,50.55,20233
8,2023,2,15.81,50.97,20232
9,2023,1,15.5,50.02,20231
10,2022,4,15.46,49.74,20224
11,2022,3,15.46,49.79,20223
12,2022,2,15.57,50.18,20222
13,2022,1,15.97,51.52,20221
14,2021,4,16.74,53.88,20214
15,2021,3,15.41,49.64,20213
16,2021,2,15.62,50.35,20212
17,2021,1,15.92,51.36,20211
18,2020,4,16.16,52.03,20204
19,2020,3,16.35,52.68,20203
20,2020,2,16.46,53.06,20202
21,2020,1,16.7,53.89,20201
22,2019,4,17.2,55.55,20194
23,2019,3,17.53,56.66,20193
24,2019,2,18.11,58.55,20192
25,2019,1,18.59,60.16,20191
26,2018,4,21.95,71.07,20184
27,2018,3,21.75,70.49,20183
28,2018,2,21.77,70.78,20182
29,2018,1,21.8,70.74,20181
30,2017,4,23.44,76.32,20174
31,2017,3,23.2,75.53,20173
32,2017,2,23.83,77.65,20172
33,2017,1,23.57,76.86,20171
34,2016,4,23.44,76.32,20164
35,2016,3,23.2,75.53,20163
36,2016,2,23.83,77.65,20162
37,2016,1,23.57,76.86,20161
38,2015,4,23.03,75.17,20154
39,2015,3,23.26,76.03,20153
40,2015,2,23.18,75.87,20152
41,2015,1,23.47,76.89,20151
42,2014,4,22.61,74.16,20144
43,2014,3,22.49,73.86,20143
44,2014,2,22.4,73.65,20142
45,2014,1,22.49,74.04,20141
