"Año","Trimestre","Ingresos"
"2025","1","$ 671.895.963,18"
"2024","4","$ 697.603.364,84"
"2024","3","$ 541.734.583,50"
"2024","2","$ 442.032.166,69"
"2024","1","$ 346.198.986,13"
"2023","4","$ 167.376.014,80"
"2023","3","$ 133.106.593,41"
"2023","2","$ 118.060.280,28"
"2023","1","$ 104.134.992,81"
"2022","4","$ 72.443.482,99"
"2022","3","$ 64.086.784,33"
"2022","2","$ 60.419.500,62"
"2022","1","$ 55.219.313,01"
"2021","4","$ 45.467.887,17"
"2021","3","$ 42.999.944,29"
"2021","2","$ 38.239.666,63"
"2021","1","$ 36.676.371,36"
"2020","4","$ 33.539.702,72"
"2020","3","$ 31.997.444,53"
"2020","2","$ 32.102.475,99"
"2020","1","$ 29.946.216,45"
"2019","4","$ 24.169.250,70"
"2019","3","$ 21.652.748,44"
"2019","2","$ 20.743.117,69"
"2019","1","$ 20.207.413,77"
"2018","4","$ 16.637.686,59"
"2018","3","$ 15.410.980,69"
"2018","2","$ 14.319.467,46"
"2018","1","$ 13.171.459,23"
"2017","4","$ 11.226.127,39"
"2017","3","$ 10.065.997,86"
"2017","2","$ 9.678.646,93"
"2017","1","$ 8.701.201,42"
"2016","4","$ 7.483.980,39"
"2016","3","$ 6.912.441,54"
"2016","2","$ 6.534.240,60"
"2016","1","$ 5.936.844,89"
"2015","4","$ 5.376.899,21"
"2015","3","$ 5.153.738,88"
"2015","2","$ 4.701.790,72"
"2015","1","$ 4.876.385,32"
"2014","4","$ 3.950.440,78"
"2014","3","$ 3.478.637,74"
"2014","2","$ 3.270.816,20"
"2014","1","$ 2.984.054,21"

