LinkIndec;Provincia;Partido;Localidad;Velocidad;Accesos;Rango_Velocidad
6588100;BUENOS AIRES;9 de Julio;9 de Julio;1,0;6;0–10 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;3,0;217;0–10 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;5,0;169;0–10 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;6,0;32;0–10 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;7,0;235;0–10 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;8,0;1;0–10 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;10,0;94;10–30 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;15,0;7;10–30 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;20,0;3;10–30 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;30,0;912;30–50 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;50,0;611;50–100 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;100,0;1;100–300 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;200,0;1;100–300 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;300,0;1;300–1000 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;500,0;30;300–1000 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;1000,0;15;>1000 Mbps
6588100;BUENOS AIRES;9 de Julio;9 de Julio;226,5;68;100–300 Mbps
6588030;BUENOS AIRES;9 de Julio;12 de Octubre;3,0;11;0–10 Mbps
6588030;BUENOS AIRES;9 de Julio;12 de Octubre;226,5;17;100–300 Mbps
6588010;BUENOS AIRES;9 de Julio;Alfredo Demarchi  (Est. Facundo Quiroga);3,0;510;0–10 Mbps
6588010;BUENOS AIRES;9 de Julio;Alfredo Demarchi  (Est. Facundo Quiroga);226,5;15;100–300 Mbps
6588020;BUENOS AIRES;9 de Julio;Carlos María Naón;20,0;62;10–30 Mbps
6588020;BUENOS AIRES;9 de Julio;Carlos María Naón;226,5;10;100–300 Mbps
6588040;BUENOS AIRES;9 de Julio;Dudignac;1,0;8;0–10 Mbps
6588040;BUENOS AIRES;9 de Julio;Dudignac;3,0;36;0–10 Mbps
6588040;BUENOS AIRES;9 de Julio;Dudignac;4,0;247;0–10 Mbps
6588040;BUENOS AIRES;9 de Julio;Dudignac;6,0;46;0–10 Mbps
6588040;BUENOS AIRES;9 de Julio;Dudignac;10,0;52;10–30 Mbps
6588040;BUENOS AIRES;9 de Julio;Dudignac;226,5;12;100–300 Mbps
6588050;BUENOS AIRES;9 de Julio;La Aurora  (Est. La Niña);226,5;13;100–300 Mbps
6588060;BUENOS AIRES;9 de Julio;Manuel B. Gonnet  (Est. French);2,0;193;0–10 Mbps
6588060;BUENOS AIRES;9 de Julio;Manuel B. Gonnet  (Est. French);226,5;17;100–300 Mbps
6588070;BUENOS AIRES;9 de Julio;Marcelino Ugarte  (Est. Dennehy);226,5;5;100–300 Mbps
6588080;BUENOS AIRES;9 de Julio;Morea;3,0;130;0–10 Mbps
6588080;BUENOS AIRES;9 de Julio;Morea;226,5;4;100–300 Mbps
6588090;BUENOS AIRES;9 de Julio;Norumbega;226,5;8;100–300 Mbps
6588110;BUENOS AIRES;9 de Julio;Patricios;3,0;50;0–10 Mbps
6588110;BUENOS AIRES;9 de Julio;Patricios;15,0;90;10–30 Mbps
6588110;BUENOS AIRES;9 de Julio;Patricios;30,0;2;30–50 Mbps
6588110;BUENOS AIRES;9 de Julio;Patricios;226,5;7;100–300 Mbps
6588120;BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);3,0;42;0–10 Mbps
6588120;BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);15,0;89;10–30 Mbps
6588120;BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);20,0;92;10–30 Mbps
6588120;BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);30,0;21;30–50 Mbps
6588120;BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);50,0;7;50–100 Mbps
6588120;BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);100,0;1;100–300 Mbps
6588120;BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud);226,5;8;100–300 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;0,0;2;0–10 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;1,0;7;0–10 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;2,0;1;0–10 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;3,0;107;0–10 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;0,5;2;0–10 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;5,0;1;0–10 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;6,0;51;0–10 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;10,0;303;10–30 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;12,0;336;10–30 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;14,0;2;10–30 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;15,0;264;10–30 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;20,0;153;10–30 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;25,0;84;10–30 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;30,0;2;30–50 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;40,0;13;30–50 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;50,0;1;50–100 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;80,0;6;50–100 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;100,0;1;100–300 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;300,0;94;300–1000 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;500,0;3;300–1000 Mbps
6854100;BUENOS AIRES;25 de Mayo;25 de Mayo;226,5;153;100–300 Mbps
6854010;BUENOS AIRES;25 de Mayo;Agustín Mosconi;12,0;21;10–30 Mbps
6854010;BUENOS AIRES;25 de Mayo;Agustín Mosconi;20,0;10;10–30 Mbps
6854010;BUENOS AIRES;25 de Mayo;Agustín Mosconi;226,5;13;100–300 Mbps
6854020;BUENOS AIRES;25 de Mayo;Del Valle;3,0;181;0–10 Mbps
6854020;BUENOS AIRES;25 de Mayo;Del Valle;0,5;1;0–10 Mbps
6854020;BUENOS AIRES;25 de Mayo;Del Valle;10,0;10;10–30 Mbps
6854020;BUENOS AIRES;25 de Mayo;Del Valle;226,5;17;100–300 Mbps
6854030;BUENOS AIRES;25 de Mayo;Ernestina;5,0;75;0–10 Mbps
6854030;BUENOS AIRES;25 de Mayo;Ernestina;226,5;7;100–300 Mbps
6854040;BUENOS AIRES;25 de Mayo;Gobernador Ugarte;6,0;154;0–10 Mbps
6854040;BUENOS AIRES;25 de Mayo;Gobernador Ugarte;8,0;58;0–10 Mbps
6854040;BUENOS AIRES;25 de Mayo;Gobernador Ugarte;10,0;2;10–30 Mbps
6854040;BUENOS AIRES;25 de Mayo;Gobernador Ugarte;12,0;8;10–30 Mbps
6854040;BUENOS AIRES;25 de Mayo;Gobernador Ugarte;15,0;7;10–30 Mbps
6854040;BUENOS AIRES;25 de Mayo;Gobernador Ugarte;30,0;2;30–50 Mbps
6854040;BUENOS AIRES;25 de Mayo;Gobernador Ugarte;65,0;1;50–100 Mbps
6854040;BUENOS AIRES;25 de Mayo;Gobernador Ugarte;226,5;8;100–300 Mbps
6854050;BUENOS AIRES;25 de Mayo;Lucas Monteverde;226,5;13;100–300 Mbps
6854060;BUENOS AIRES;25 de Mayo;Norberto de la Riestra;2,0;83;0–10 Mbps
6854060;BUENOS AIRES;25 de Mayo;Norberto de la Riestra;3,0;25;0–10 Mbps
6854060;BUENOS AIRES;25 de Mayo;Norberto de la Riestra;4,0;5;0–10 Mbps
6854060;BUENOS AIRES;25 de Mayo;Norberto de la Riestra;5,0;5;0–10 Mbps
6854060;BUENOS AIRES;25 de Mayo;Norberto de la Riestra;6,0;862;0–10 Mbps
6854060;BUENOS AIRES;25 de Mayo;Norberto de la Riestra;10,0;1;10–30 Mbps
6854060;BUENOS AIRES;25 de Mayo;Norberto de la Riestra;15,0;742;10–30 Mbps
6854060;BUENOS AIRES;25 de Mayo;Norberto de la Riestra;25,0;91;10–30 Mbps
6854060;BUENOS AIRES;25 de Mayo;Norberto de la Riestra;50,0;56;50–100 Mbps
6854060;BUENOS AIRES;25 de Mayo;Norberto de la Riestra;70,0;4;50–100 Mbps
6854060;BUENOS AIRES;25 de Mayo;Norberto de la Riestra;100,0;6;100–300 Mbps
6854060;BUENOS AIRES;25 de Mayo;Norberto de la Riestra;226,5;29;100–300 Mbps
6854070;BUENOS AIRES;25 de Mayo;Pedernales;6,0;2;0–10 Mbps
6854070;BUENOS AIRES;25 de Mayo;Pedernales;10,0;374;10–30 Mbps
6854070;BUENOS AIRES;25 de Mayo;Pedernales;15,0;3;10–30 Mbps
6854070;BUENOS AIRES;25 de Mayo;Pedernales;50,0;240;50–100 Mbps
6854070;BUENOS AIRES;25 de Mayo;Pedernales;226,5;10;100–300 Mbps
6854080;BUENOS AIRES;25 de Mayo;San Enrique;12,0;38;10–30 Mbps
6854080;BUENOS AIRES;25 de Mayo;San Enrique;20,0;11;10–30 Mbps
6854080;BUENOS AIRES;25 de Mayo;San Enrique;226,5;17;100–300 Mbps
6854090;BUENOS AIRES;25 de Mayo;Valdés;12,0;64;10–30 Mbps
6854090;BUENOS AIRES;25 de Mayo;Valdés;20,0;20;10–30 Mbps
6854090;BUENOS AIRES;25 de Mayo;Valdés;226,5;23;100–300 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Carhué;3,0;772;0–10 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Carhué;6,0;5;0–10 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Carhué;7,0;103;0–10 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Carhué;10,0;25;10–30 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Carhué;15,0;1;10–30 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Carhué;30,0;1;30–50 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Carhué;31,0;266;30–50 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Carhué;50,0;820;50–100 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Carhué;61,0;31;50–100 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Carhué;100,0;2;100–300 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Carhué;226,5;25;100–300 Mbps
6007020;BUENOS AIRES;Adolfo Alsina;Colonia San Miguel Arcángel;3,0;208;0–10 Mbps
6007020;BUENOS AIRES;Adolfo Alsina;Colonia San Miguel Arcángel;226,5;9;100–300 Mbps
6007030;BUENOS AIRES;Adolfo Alsina;Delfín Huergo;226,5;4;100–300 Mbps
6007050;BUENOS AIRES;Adolfo Alsina;Esteban Agustín Gascón;3,0;60;0–10 Mbps
6007050;BUENOS AIRES;Adolfo Alsina;Esteban Agustín Gascón;226,5;3;100–300 Mbps
6007060;BUENOS AIRES;Adolfo Alsina;La Pala;226,5;3;100–300 Mbps
6007070;BUENOS AIRES;Adolfo Alsina;Maza;0,0;10;0–10 Mbps
6007070;BUENOS AIRES;Adolfo Alsina;Maza;0,5;2;0–10 Mbps
6007070;BUENOS AIRES;Adolfo Alsina;Maza;5,0;386;0–10 Mbps
6007070;BUENOS AIRES;Adolfo Alsina;Maza;10,0;6;10–30 Mbps
6007070;BUENOS AIRES;Adolfo Alsina;Maza;20,0;2;10–30 Mbps
6007070;BUENOS AIRES;Adolfo Alsina;Maza;226,5;15;100–300 Mbps
6007080;BUENOS AIRES;Adolfo Alsina;Rivera;0,0;1;0–10 Mbps
6007080;BUENOS AIRES;Adolfo Alsina;Rivera;20,0;1;10–30 Mbps
6007080;BUENOS AIRES;Adolfo Alsina;Rivera;35,0;26;30–50 Mbps
6007080;BUENOS AIRES;Adolfo Alsina;Rivera;50,0;31;50–100 Mbps
6007080;BUENOS AIRES;Adolfo Alsina;Rivera;226,5;9;100–300 Mbps
6007010;BUENOS AIRES;Adolfo Alsina;Thames;226,5;3;100–300 Mbps
6007100;BUENOS AIRES;Adolfo Alsina;Villa Margarita;226,5;2;100–300 Mbps
6007110;BUENOS AIRES;Adolfo Alsina;Yutuyaco;226,5;18;100–300 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);1,0;2;0–10 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);3,0;57;0–10 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);5,0;2;0–10 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);6,0;28;0–10 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);8,0;310;0–10 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);10,0;217;10–30 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);12,0;1;10–30 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);15,0;1;10–30 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);30,0;44;30–50 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);50,0;1;50–100 Mbps
6014010;BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves);226,5;34;100–300 Mbps
6014020;BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;0,0;26;0–10 Mbps
6014020;BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;4,0;573;0–10 Mbps
6014020;BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;7,0;38;0–10 Mbps
6014020;BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;8,0;28;0–10 Mbps
6014020;BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;10,0;59;10–30 Mbps
6014020;BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;15,0;18;10–30 Mbps
6014020;BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma;226,5;18;100–300 Mbps
6014030;BUENOS AIRES;Adolfo Gonzales Chaves;Juan E. Barra;4,0;48;0–10 Mbps
6014030;BUENOS AIRES;Adolfo Gonzales Chaves;Juan E. Barra;226,5;13;100–300 Mbps
6014040;BUENOS AIRES;Adolfo Gonzales Chaves;Vásquez;3,0;12;0–10 Mbps
6014040;BUENOS AIRES;Adolfo Gonzales Chaves;Vásquez;4,0;2;0–10 Mbps
6014040;BUENOS AIRES;Adolfo Gonzales Chaves;Vásquez;226,5;3;100–300 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);0,0;1;0–10 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);1,0;2;0–10 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);2,0;1;0–10 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);3,0;8;0–10 Mbps
6021010;BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza);5,0;1;0–10 Mbps
